date,time,road,volume
9,22,3500007500-3500059000,774
9,20,3510000500-3510000400,1991
9,21,3510000500-3510000400,1962
9,22,3510000500-3510000400,1301
9,20,3510000400-3510000500,2231
9,21,3510000400-3510000500,2162
9,22,3510000400-3510000500,1636
9,20,3510000450-3510000400,2207
9,21,3510000450-3510000400,2149
9,22,3510000450-3510000400,1775
9,20,3510000400-3510000450,1969
9,21,3510000400-3510000450,1955
9,22,3510000400-3510000450,1309
10,20,3500007900-3500007500,0
10,21,3500007900-3500007500,0
10,22,3500007900-3500007500,0
10,20,3500007500-3500007900,255
10,21,3500007500-3500007900,250
10,22,3500007500-3500007900,174
10,20,3500006700-3500007500,0
10,21,3500006700-3500007500,0
10,22,3500006700-3500007500,0
10,20,3500007500-3500006700,199
10,21,3500007500-3500006700,147
10,22,3500007500-3500006700,136
10,20,3500059000-3500007500,613
10,21,3500059000-3500007500,597
10,22,3500059000-3500007500,358
10,20,3500007500-3500059000,804
10,21,3500007500-3500059000,630
10,22,3500007500-3500059000,600
10,20,3510000500-3510000400,0
10,21,3510000500-3510000400,0
10,22,3510000500-3510000400,0
10,20,3510000400-3510000500,227
10,21,3510000400-3510000500,256
10,22,3510000400-3510000500,125
10,20,3510000450-3510000400,0
10,21,3510000450-3510000400,0
10,22,3510000450-3510000400,0
10,20,3510000400-3510000450,165
10,21,3510000400-3510000450,138
10,22,3510000400-3510000450,119
11,20,3500007900-3500007500,1418
11,21,3500007900-3500007500,1316
11,22,3500007900-3500007500,1034
11,20,3500007500-3500007900,1106
11,21,3500007500-3500007900,1083
11,22,3500007500-3500007900,740
11,20,3500006700-3500007500,963
11,21,3500006700-3500007500,956
11,22,3500006700-3500007500,628
11,20,3500007500-3500006700,1228
11,21,3500007500-3500006700,1151
11,22,3500007500-3500006700,900
11,20,3500059000-3500007500,853
11,21,3500059000-3500007500,814
11,22,3500059000-3500007500,474
11,20,3500007500-3500059000,1332
11,21,3500007500-3500059000,1282
11,22,3500007500-3500059000,778
11,20,3510000500-3510000400,1980
11,21,3510000500-3510000400,1863
11,22,3510000500-3510000400,1226
11,20,3510000400-3510000500,2319
11,21,3510000400-3510000500,2185
11,22,3510000400-3510000500,1625
11,20,3510000450-3510000400,2248
11,21,3510000450-3510000400,2146
11,22,3510000450-3510000400,1728
11,20,3510000400-3510000450,2010
11,21,3510000400-3510000450,1864
11,22,3510000400-3510000450,1227
12,20,3500007900-3500007500,1355
12,21,3500007900-3500007500,1372
12,22,3500007900-3500007500,1134
12,20,3500007500-3500007900,1085
12,21,3500007500-3500007900,1085
12,22,3500007500-3500007900,799
12,20,3500006700-3500007500,961
12,21,3500006700-3500007500,1006
12,22,3500006700-3500007500,709
12,20,3500007500-3500006700,1198
12,21,3500007500-3500006700,1215
12,22,3500007500-3500006700,945
12,20,3500059000-3500007500,852
12,21,3500059000-3500007500,856
12,22,3500059000-3500007500,510
12,20,3500007500-3500059000,1202
12,21,3500007500-3500059000,1132
12,22,3500007500-3500059000,715
12,20,3510000500-3510000400,2013
12,21,3510000500-3510000400,1988
12,22,3510000500-3510000400,1428
12,20,3510000400-3510000500,2293
12,21,3510000400-3510000500,2240
12,22,3510000400-3510000500,1704
12,20,3510000450-3510000400,2291
12,21,3510000450-3510000400,2227
12,22,3510000450-3510000400,1839
12,20,3510000400-3510000450,2039
12,21,3510000400-3510000450,1968
12,22,3510000400-3510000450,1424
13,20,3500007900-3500007500,1289
13,21,3500007900-3500007500,1194
13,22,3500007900-3500007500,1039
13,20,3500007500-3500007900,1049
13,21,3500007500-3500007900,916
13,22,3500007500-3500007900,740
13,20,3500006700-3500007500,875
13,21,3500006700-3500007500,820
13,22,3500006700-3500007500,669
13,20,3500007500-3500006700,1098
