date,time,road,speed
22,17,3500006300-3500006301,26
22,18,3500006300-3500006301,26
22,19,3500006300-3500006301,26
23,17,3500006300-3500006301,31
23,18,3500006300-3500006301,31
23,19,3500006300-3500006301,31
25,17,3500006300-3500006301,25
25,18,3500006300-3500006301,25
25,19,3500006300-3500006301,27
26,17,3500006300-3500006301,29
26,18,3500006300-3500006301,29
26,19,3500006300-3500006301,29
27,17,3500006300-3500006301,23
27,18,3500006300-3500006301,23
27,19,3500006300-3500006301,23
28,17,3500006300-3500006301,29
28,18,3500006300-3500006301,29
28,19,3500006300-3500006301,29
29,17,3500006300-3500006301,26
29,18,3500006300-3500006301,27
29,19,3500006300-3500006301,28
30,17,3500006300-3500006301,26
30,18,3500006300-3500006301,27
30,19,3500006300-3500006301,27
1,17,3500007500-3500007900,25
1,18,3500007500-3500007900,27
1,19,3500007500-3500007900,33
1,17,3500007900-3500008000,25
1,18,3500007900-3500008000,27
1,19,3500007900-3500008000,33
3,17,3500007500-3500007900,28
3,18,3500007500-3500007900,29
3,19,3500007500-3500007900,35
3,17,3500007900-3500008000,28
3,18,3500007900-3500008000,29
3,19,3500007900-3500008000,35
4,17,3500007500-3500007900,30
4,18,3500007500-3500007900,28
4,19,3500007500-3500007900,35
4,17,3500007900-3500008000,30
4,18,3500007900-3500008000,28
4,19,3500007900-3500008000,35
5,17,3500007500-3500007900,25
5,18,3500007500-3500007900,25
5,19,3500007500-3500007900,29
5,17,3500007900-3500008000,25
5,18,3500007900-3500008000,25
5,19,3500007900-3500008000,29
6,17,3500007500-3500007900,28
6,18,3500007500-3500007900,31
6,19,3500007500-3500007900,34
6,17,3500007900-3500008000,28
6,18,3500007900-3500008000,31
6,19,3500007900-3500008000,34
7,17,3500007500-3500007900,29
7,18,3500007500-3500007900,31
7,19,3500007500-3500007900,30
7,17,3500007900-3500008000,29
7,18,3500007900-3500008000,31
7,19,3500007900-3500008000,30
8,17,3500007500-3500007900,28
8,18,3500007500-3500007900,29
8,19,3500007500-3500007900,36
8,17,3500007900-3500008000,28
8,18,3500007900-3500008000,29
8,19,3500007900-3500008000,36
9,17,3500007500-3500007900,26
9,18,3500007500-3500007900,27
9,19,3500007500-3500007900,36
9,17,3500007900-3500008000,26
9,18,3500007900-3500008000,27
9,19,3500007900-3500008000,36
10,17,3500007500-3500007900,33
10,18,3500007500-3500007900,34
10,19,3500007500-3500007900,38
10,17,3500007900-3500008000,33
10,18,3500007900-3500008000,34
10,19,3500007900-3500008000,38
11,17,3500007500-3500007900,26
11,18,3500007500-3500007900,27
11,19,3500007500-3500007900,35
11,17,3500007900-3500008000,26
11,18,3500007900-3500008000,27
11,19,3500007900-3500008000,35
12,17,3500007500-3500007900,24
12,18,3500007500-3500007900,25
12,19,3500007500-3500007900,34
12,17,3500007900-3500008000,24
12,18,3500007900-3500008000,25
12,19,3500007900-3500008000,34
13,17,3500007500-3500007900,32
13,18,3500007500-3500007900,32
13,19,3500007500-3500007900,38
13,17,3500007900-3500008000,32
13,18,3500007900-3500008000,32
13,19,3500007900-3500008000,38
14,17,3500007500-3500007900,30
14,18,3500007500-3500007900,31
14,19,3500007500-3500007900,32
14,17,3500007900-3500008000,30
14,18,3500007900-3500008000,31
14,19,3500007900-3500008000,32
15,17,3500007500-3500007900,28
15,18,3500007500-3500007900,28
15,19,3500007500-3500007900,34
15,17,3500007900-3500008000,28
15,18,3500007900-3500008000,28
15,19,3500007900-3500008000,34
16,17,3500007500-3500007900,28
16,18,3500007500-3500007900,30
16,19,3500007500-3500007900,37
16,17,3500007900-3500008000,28
16,18,3500007900-3500008000,30
16,19,3500007900-3500008000,37
17,17,3500007500-3500007900,28
17,18,3500007500-3500007900,28
17,19,3500007500-3500007900,36
17,17,3500007900-3500008000,28
17,18,3500007900-3500008000,28
17,19,3500007900-3500008000,36
18,17,3500007500-3500007900,27
18,18,3500007500-3500007900,30
18,19,3500007500-3500007900,36
18,17,3500007900-3500008000,27
18,18,3500007900-3500008000,30
18,19,3500007900-3500008000,36
19,17,3500007500-3500007900,24
19,18,3500007500-3500007900,28
19,19,3500007500-3500007900,35
19,17,3500007900-3500008000,24
19,18,3500007900-3500008000,28
19,19,3500007900-3500008000,35
20,17,3500007500-3500007900,29
20,18,3500007500-3500007900,32
20,19,3500007500-3500007900,38
20,17,3500007900-3500008000,29
20,18,3500007900-3500008000,32
20,19,3500007900-3500008000,38
21,17,3500007500-3500007900,29
21,18,3500007500-3500007900,32
21,19,3500007500-3500007900,38
21,17,3500007900-3500008000,29
21,18,3500007900-3500008000,32
21,19,3500007900-3500008000,38
22,17,3500007500-3500007900,23
22,18,3500007500-3500007900,21
22,19,3500007500-3500007900,35
22,17,3500007900-3500008000,23
22,18,3500007900-3500008000,21
22,19,3500007900-3500008000,35
23,17,3500007500-3500007900,26
23,18,3500007500-3500007900,28
23,19,3500007500-3500007900,35
23,17,3500007900-3500008000,26
23,18,3500007900-3500008000,28
23,19,3500007900-3500008000,35
25,17,3500007500-3500007900,27
25,18,3500007500-3500007900,27
25,19,3500007500-3500007900,38
25,17,3500007900-3500008000,27
25,18,3500007900-3500008000,27
25,19,3500007900-3500008000,38
26,17,3500007500-3500007900,25
26,18,3500007500-3500007900,28
26,19,3500007500-3500007900,38
26,17,3500007900-3500008000,25
26,18,3500007900-3500008000,28
26,19,3500007900-3500008000,38
27,17,3500007500-3500007900,31
27,18,3500007500-3500007900,33
27,19,3500007500-3500007900,35
27,17,3500007900-3500008000,31
27,18,3500007900-3500008000,33
27,19,3500007900-3500008000,35
28,17,3500007500-3500007900,30
28,18,3500007500-3500007900,32
28,19,3500007500-3500007900,35
28,17,3500007900-3500008000,30
28,18,3500007900-3500008000,32
28,19,3500007900-3500008000,35
29,17,3500007500-3500007900,28
29,18,3500007500-3500007900,28
29,19,3500007500-3500007900,32
29,17,3500007900-3500008000,28
29,18,3500007900-3500008000,28
29,19,3500007900-3500008000,32
30,17,3500007500-3500007900,28
30,18,3500007500-3500007900,28
30,19,3500007500-3500007900,36
30,17,3500007900-3500008000,28
30,18,3500007900-3500008000,28
30,19,3500007900-3500008000,36
1,17,3510000200-3510000250,21
1,18,3510000200-3510000250,27
1,19,3510000200-3510000250,33
1,17,3510000250-3510000300,21
1,18,3510000250-3510000300,27
1,19,3510000250-3510000300,33
3,17,3510000200-3510000250,25
3,18,3510000200-3510000250,18
3,19,3510000200-3510000250,35
3,17,3510000250-3510000300,25
3,18,3510000250-3510000300,18
3,19,3510000250-3510000300,35
4,17,3510000200-3510000250,14
4,18,3510000200-3510000250,20
4,19,3510000200-3510000250,35
4,17,3510000250-3510000300,14
4,18,3510000250-3510000300,20
4,19,3510000250-3510000300,35
5,17,3510000200-3510000250,14
5,18,3510000200-3510000250,13
5,19,3510000200-3510000250,29
5,17,3510000250-3510000300,14
5,18,3510000250-3510000300,13
5,19,3510000250-3510000300,29
6,17,3510000200-3510000250,26
6,18,3510000200-3510000250,31
6,19,3510000200-3510000250,34
6,17,3510000250-3510000300,26
6,18,3510000250-3510000300,31
6,19,3510000250-3510000300,34
7,17,3510000200-3510000250,29
7,18,3510000200-3510000250,31
7,19,3510000200-3510000250,30
7,17,3510000250-3510000300,29
7,18,3510000250-3510000300,31
7,19,3510000250-3510000300,30
8,17,3510000200-3510000250,18
8,18,3510000200-3510000250,20
8,19,3510000200-3510000250,36
8,17,3510000250-3510000300,18
8,18,3510000250-3510000300,20
8,19,3510000250-3510000300,36
9,17,3510000200-3510000250,19
9,18,3510000200-3510000250,20
9,19,3510000200-3510000250,36
9,17,3510000250-3510000300,19
9,18,3510000250-3510000300,20
9,19,3510000250-3510000300,36
10,17,3510000200-3510000250,33
10,18,3510000200-3510000250,34
10,19,3510000200-3510000250,38
10,17,3510000250-3510000300,33
10,18,3510000250-3510000300,34
10,19,3510000250-3510000300,38
11,17,3510000200-3510000250,26
11,18,3510000200-3510000250,25
11,19,3510000200-3510000250,35
11,17,3510000250-3510000300,26
11,18,3510000250-3510000300,25
11,19,3510000250-3510000300,35
12,17,3510000200-3510000250,9
12,18,3510000200-3510000250,15
12,19,3510000200-3510000250,34
12,17,3510000250-3510000300,9
12,18,3510000250-3510000300,15
12,19,3510000250-3510000300,34
13,17,3510000200-3510000250,32
13,18,3510000200-3510000250,32
13,19,3510000200-3510000250,38
13,17,3510000250-3510000300,32
13,18,3510000250-3510000300,32
13,19,3510000250-3510000300,38
14,17,3510000200-3510000250,30
14,18,3510000200-3510000250,31
14,19,3510000200-3510000250,32
14,17,3510000250-3510000300,30
14,18,3510000250-3510000300,31
14,19,3510000250-3510000300,32
15,17,3510000200-3510000250,27
15,18,3510000200-3510000250,23
15,19,3510000200-3510000250,34
15,17,3510000250-3510000300,27
15,18,3510000250-3510000300,23
15,19,3510000250-3510000300,34
16,17,3510000200-3510000250,17
16,18,3510000200-3510000250,24
16,19,3510000200-3510000250,37
16,17,3510000250-3510000300,17
16,18,3510000250-3510000300,24
16,19,3510000250-3510000300,37
17,17,3510000200-3510000250,26
17,18,3510000200-3510000250,28
17,19,3510000200-3510000250,36
17,17,3510000250-3510000300,26
17,18,3510000250-3510000300,28
17,19,3510000250-3510000300,36
18,17,3510000200-3510000250,25
18,18,3510000200-3510000250,30
18,19,3510000200-3510000250,36
18,17,3510000250-3510000300,25
18,18,3510000250-3510000300,30
18,19,3510000250-3510000300,36
19,17,3510000200-3510000250,21
19,18,3510000200-3510000250,24
19,19,3510000200-3510000250,35
19,17,3510000250-3510000300,21
19,18,3510000250-3510000300,24
19,19,3510000250-3510000300,35
20,17,3510000200-3510000250,29
20,18,3510000200-3510000250,32
20,19,3510000200-3510000250,38
20,17,3510000250-3510000300,29
20,18,3510000250-3510000300,32
20,19,3510000250-3510000300,38
21,17,3510000200-3510000250,29
21,18,3510000200-3510000250,32
21,19,3510000200-3510000250,38
21,17,3510000250-3510000300,29
21,18,3510000250-3510000300,32
21,19,3510000250-3510000300,38
22,17,3510000200-3510000250,13
22,18,3510000200-3510000250,15
22,19,3510000200-3510000250,32
22,17,3510000250-3510000300,13
22,18,3510000250-3510000300,15
22,19,3510000250-3510000300,32
23,17,3510000200-3510000250,22
23,18,3510000200-3510000250,26
23,19,3510000200-3510000250,35
23,17,3510000250-3510000300,22
23,18,3510000250-3510000300,26
23,19,3510000250-3510000300,35
25,17,3510000200-3510000250,27
25,18,3510000200-3510000250,20
25,19,3510000200-3510000250,38
25,17,3510000250-3510000300,27
25,18,3510000250-3510000300,20
25,19,3510000250-3510000300,38
26,17,3510000200-3510000250,10
26,18,3510000200-3510000250,16
26,19,3510000200-3510000250,38
26,17,3510000250-3510000300,10
26,18,3510000250-3510000300,16
26,19,3510000250-3510000300,38
27,17,3510000200-3510000250,31
27,18,3510000200-3510000250,33
27,19,3510000200-3510000250,35
27,17,3510000250-3510000300,31
27,18,3510000250-3510000300,33
27,19,3510000250-3510000300,35
28,17,3510000200-3510000250,30
28,18,3510000200-3510000250,32
28,19,3510000200-3510000250,35
28,17,3510000250-3510000300,30
28,18,3510000250-3510000300,32
28,19,3510000250-3510000300,35
29,17,3510000200-3510000250,28
29,18,3510000200-3510000250,26
29,19,3510000200-3510000250,32
29,17,3510000250-3510000300,28
29,18,3510000250-3510000300,26
29,19,3510000250-3510000300,32
30,17,3510000200-3510000250,23
30,18,3510000200-3510000250,27
30,19,3510000200-3510000250,36
30,17,3510000250-3510000300,23
30,18,3510000250-3510000300,27
30,19,3510000250-3510000300,36
1,17,3500008000-3500007900,23
1,18,3500008000-3500007900,25
1,19,3500008000-3500007900,31
1,17,3500007900-3500007500,23
1,18,3500007900-3500007500,25
1,19,3500007900-3500007500,31
3,17,3500008000-3500007900,26
3,18,3500008000-3500007900,21
3,19,3500008000-3500007900,30
3,17,3500007900-3500007500,26
3,18,3500007900-3500007500,21
3,19,3500007900-3500007500,30
4,17,3500008000-3500007900,23
4,18,3500008000-3500007900,23
4,19,3500008000-3500007900,31
4,17,3500007900-3500007500,23
4,18,3500007900-3500007500,23
4,19,3500007900-3500007500,31
5,17,3500008000-3500007900,20
5,18,3500008000-3500007900,12
5,19,3500008000-3500007900,25
5,17,3500007900-3500007500,20
5,18,3500007900-3500007500,12
5,19,3500007900-3500007500,25
6,17,3500008000-3500007900,29
6,18,3500008000-3500007900,30
6,19,3500008000-3500007900,31
6,17,3500007900-3500007500,29
6,18,3500007900-3500007500,30
6,19,3500007900-3500007500,31
7,17,3500008000-3500007900,28
7,18,3500008000-3500007900,29
7,19,3500008000-3500007900,31
7,17,3500007900-3500007500,28
7,18,3500007900-3500007500,29
7,19,3500007900-3500007500,31
8,17,3500008000-3500007900,26
8,18,3500008000-3500007900,26
8,19,3500008000-3500007900,31
8,17,3500007900-3500007500,26
8,18,3500007900-3500007500,26
8,19,3500007900-3500007500,31
9,17,3500008000-3500007900,20
9,18,3500008000-3500007900,20
9,19,3500008000-3500007900,31
9,17,3500007900-3500007500,20
9,18,3500007900-3500007500,20
9,19,3500007900-3500007500,31
10,17,3500008000-3500007900,29
10,18,3500008000-3500007900,28
10,19,3500008000-3500007900,31
10,17,3500007900-3500007500,29
10,18,3500007900-3500007500,28
10,19,3500007900-3500007500,31
11,17,3500008000-3500007900,25
11,18,3500008000-3500007900,19
11,19,3500008000-3500007900,30
11,17,3500007900-3500007500,25
11,18,3500007900-3500007500,19
11,19,3500007900-3500007500,30
12,17,3500008000-3500007900,23
12,18,3500008000-3500007900,18
12,19,3500008000-3500007900,28
12,17,3500007900-3500007500,23
12,18,3500007900-3500007500,18
12,19,3500007900-3500007500,28
13,17,3500008000-3500007900,27
13,18,3500008000-3500007900,29
13,19,3500008000-3500007900,29
13,17,3500007900-3500007500,27
13,18,3500007900-3500007500,29
13,19,3500007900-3500007500,29
14,17,3500008000-3500007900,28
14,18,3500008000-3500007900,29
14,19,3500008000-3500007900,29
14,17,3500007900-3500007500,28
14,18,3500007900-3500007500,29
14,19,3500007900-3500007500,29
15,17,3500008000-3500007900,26
15,18,3500008000-3500007900,19
15,19,3500008000-3500007900,29
15,17,3500007900-3500007500,26
15,18,3500007900-3500007500,19
15,19,3500007900-3500007500,29
16,17,3500008000-3500007900,24
16,18,3500008000-3500007900,21
16,19,3500008000-3500007900,29
16,17,3500007900-3500007500,24
16,18,3500007900-3500007500,21
16,19,3500007900-3500007500,29
17,17,3500008000-3500007900,23
17,18,3500008000-3500007900,25
17,19,3500008000-3500007900,30
17,17,3500007900-3500007500,23
17,18,3500007900-3500007500,25
17,19,3500007900-3500007500,30
18,17,3500008000-3500007900,25
18,18,3500008000-3500007900,21
18,19,3500008000-3500007900,30
18,17,3500007900-3500007500,25
18,18,3500007900-3500007500,21
18,19,3500007900-3500007500,30
19,17,3500008000-3500007900,23
19,18,3500008000-3500007900,19
19,19,3500008000-3500007900,28
19,17,3500007900-3500007500,23
19,18,3500007900-3500007500,19
19,19,3500007900-3500007500,28
20,17,3500008000-3500007900,28
20,18,3500008000-3500007900,29
20,19,3500008000-3500007900,32
20,17,3500007900-3500007500,28
20,18,3500007900-3500007500,29
20,19,3500007900-3500007500,32
21,17,3500008000-3500007900,30
21,18,3500008000-3500007900,29
21,19,3500008000-3500007900,31
21,17,3500007900-3500007500,30
21,18,3500007900-3500007500,29
21,19,3500007900-3500007500,31
22,17,3500008000-3500007900,23
22,18,3500008000-3500007900,19
22,19,3500008000-3500007900,27
22,17,3500007900-3500007500,23
22,18,3500007900-3500007500,19
22,19,3500007900-3500007500,27
23,17,3500008000-3500007900,23
23,18,3500008000-3500007900,27
23,19,3500008000-3500007900,29
23,17,3500007900-3500007500,23
23,18,3500007900-3500007500,27
23,19,3500007900-3500007500,29
25,17,3500008000-3500007900,24
25,18,3500008000-3500007900,21
25,19,3500008000-3500007900,30
25,17,3500007900-3500007500,24
25,18,3500007900-3500007500,21
25,19,3500007900-3500007500,30
26,17,3500008000-3500007900,23
26,18,3500008000-3500007900,21
26,19,3500008000-3500007900,28
26,17,3500007900-3500007500,23
26,18,3500007900-3500007500,21
26,19,3500007900-3500007500,28
27,17,3500008000-3500007900,28
27,18,3500008000-3500007900,29
27,19,3500008000-3500007900,29
27,17,3500007900-3500007500,28
27,18,3500007900-3500007500,29
