road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
새천년대로,2023,4,5,두산위브 > 포항온천,121,82,64,46,110,120,317,600,842,717,667,666,673,723,691,821,868,854,941,761,488,451,345,225
새천년대로,2023,4,5,장성초등학교 > 두산위브,256,138,88,69,150,285,657,1036,1598,1258,1214,1246,1288,1311,1332,1407,1509,1308,1540,1220,1017,917,708,444
새천년대로,2023,4,5,두산위브 > 장성초등학교,212,100,66,63,114,256,557,1008,1459,1321,1168,1210,1265,1278,1347,1377,1561,1622,1699,1176,1062,913,651,367
새천년대로,2023,4,6,MBC > 대잠사거리,299,185,119,78,130,170,333,523,856,1144,1215,1262,1221,1267,1282,1311,1323,1387,1316,1088,953,924,667,0
새천년대로,2023,4,6,대잠사거리 > MBC,164,136,87,80,85,178,468,617,761,938,1041,1073,1065,1126,1052,1050,1059,1010,983,727,641,536,349,0
새천년대로,2023,4,6,효자사거리 > 대잠사거리,140,118,77,68,86,167,419,564,694,830,956,979,992,1003,888,908,893,841,862,672,585,455,308,0
새천년대로,2023,4,6,대잠사거리 > 효자사거리,263,167,122,74,117,122,331,487,699,915,958,1080,1035,1089,1106,1152,1163,1146,1026,934,793,769,578,0
새천년대로,2023,4,6,포항시청 > 대잠사거리,75,51,24,29,35,191,496,518,569,644,607,660,695,701,719,703,657,778,638,430,325,264,176,0
새천년대로,2023,4,6,대잠사거리 > 포항시청,115,95,63,51,63,131,458,578,492,659,793,826,895,872,830,873,827,819,734,624,448,402,269,0
새천년대로,2023,4,6,용흥고가 > 양학사거리,285,231,137,116,163,450,1152,1298,1739,1956,1972,2015,2086,2113,1946,1879,1840,1930,1739,1359,1169,889,728,0
새천년대로,2023,4,6,양학사거리 > 용흥고가,466,339,274,193,233,330,699,956,1382,1550,1728,1956,1973,1897,1839,2088,2032,1982,1729,1428,1246,1215,915,0
새천년대로,2023,4,6,이동고가차도 아래 > 양학사거리,506,381,305,217,239,341,692,931,1243,1448,1644,1842,1921,1821,1810,2040,2022,1995,1776,1590,1361,1308,979,0
새천년대로,2023,4,6,양학사거리 > 이동고가차도 아래,302,242,165,128,180,493,1196,1363,1802,2022,2022,2024,2131,2150,1951,1888,1863,1900,1747,1383,1164,923,738,0
새천년대로,2023,4,6,사격장 > 용흥육교,257,187,102,78,182,363,857,1052,1408,1493,1487,1490,1577,1457,1447,1464,1380,1437,1260,1028,903,694,581,0
새천년대로,2023,4,6,용흥육교 > 사격장,323,192,149,99,126,239,748,872,1186,1322,1236,1292,1413,1561,1563,1775,1725,1590,1347,1033,887,860,618,0
새천년대로,2023,4,6,사격장 > 우현사거리,499,339,264,182,239,427,903,1161,1530,1789,1826,2084,2018,2071,1921,2078,2131,2101,1990,1691,1496,1395,1048,0
새천년대로,2023,4,6,우현사거리 > 사격장,292,200,128,86,145,343,971,1175,1601,1929,1790,1765,1922,1925,1854,1802,1854,1749,1546,1084,933,756,565,0
새천년대로,2023,4,6,영신고 > 우현사거리,99,82,64,71,104,260,428,645,967,1205,1029,1058,1138,1210,1072,1228,1221,1219,973,513,345,253,180,0
새천년대로,2023,4,6,우현사거리 > 영신고,309,197,156,120,223,353,832,1134,1235,1459,1323,1419,1494,1498,1372,1451,1416,1386,1204,1042,866,758,570,0
새천년대로,2023,4,6,우현사거리 > 포항고등학교,392,265,179,126,133,281,494,677,1191,1414,1482,1683,1691,1782,1654,1820,1892,1947,1913,1553,1342,1161,856,0
새천년대로,2023,4,6,포항고등학교 > 우현사거리,326,209,138,104,173,345,830,1019,1296,1602,1467,1444,1546,1673,1582,1464,1404,1359,1223,1041,933,747,563,0
새천년대로,2023,4,6,장성초등학교 > 창포사거리,322,228,165,103,110,246,423,625,1021,1174,1356,1444,1543,1548,1399,1485,1655,1581,1654,1160,1055,868,674,0
새천년대로,2023,4,6,창포사거리 > 장성초등학교,262,161,110,77,152,340,662,860,1226,1399,1381,1380,1375,1355,1301,1196,1139,1201,1119,923,797,655,484,0
새천년대로,2023,4,6,포항온천 > 두산위브,162,102,77,66,90,227,430,540,812,962,973,1014,1073,1091,1012,1002,1021,1122,992,797,568,463,311,0
새천년대로,2023,4,6,두산위브 > 포항온천,160,96,76,62,118,119,260,421,563,676,698,747,754,829,659,708,776,702,683,597,437,381,298,0
새천년대로,2023,4,6,장성초등학교 > 두산위브,309,167,131,91,155,257,536,675,977,1249,1304,1397,1447,1474,1265,1205,1304,1248,1341,990,836,686,538,0
새천년대로,2023,4,6,두산위브 > 장성초등학교,235,159,93,70,99,236,461,599,1083,1199,1264,1360,1416,1376,1450,1322,1370,1292,1285,962,774,628,472,0
새천년대로,2023,4,7,MBC > 대잠사거리,279,187,109,65,66,104,228,333,572,776,905,1027,1153,1208,1187,1235,1201,1186,1133,1133,874,782,554,299
새천년대로,2023,4,7,대잠사거리 > MBC,202,134,93,63,64,99,282,365,526,678,782,871,932,1044,963,972,886,904,914,698,589,439,295,179
새천년대로,2023,4,7,효자사거리 > 대잠사거리,187,126,86,59,60,96,264,326,516,645,759,862,881,937,882,861,783,790,798,598,527,352,257,153
새천년대로,2023,4,7,대잠사거리 > 효자사거리,243,178,111,74,62,87,221,331,478,634,779,892,1003,978,984,1081,1016,994,903,965,700,662,461,257
새천년대로,2023,4,7,포항시청 > 대잠사거리,60,42,23,14,31,155,290,304,232,298,351,315,411,525,582,589,562,690,580,419,393,298,150,104
새천년대로,2023,4,7,대잠사거리 > 포항시청,89,83,67,43,48,83,269,451,414,472,550,685,687,727,708,739,703,699,679,569,356,314,242,110
새천년대로,2023,4,7,용흥고가 > 양학사거리,315,253,124,108,107,314,644,703,970,1187,1390,1496,1678,1800,1753,1745,1742,1691,1508,1221,1046,712,552,299
새천년대로,2023,4,7,양학사거리 > 용흥고가,436,286,237,175,171,254,472,750,827,1161,1331,1482,1562,1617,1666,1760,1711,1730,1498,1472,1147,1005,702,441
새천년대로,2023,4,7,이동고가차도 아래 > 양학사거리,486,325,259,194,184,248,461,727,804,1090,1253,1405,1556,1607,1668,1802,1760,1782,1540,1613,1274,1080,772,484
새천년대로,2023,4,7,양학사거리 > 이동고가차도 아래,323,264,145,126,124,359,695,746,1025,1218,1414,1520,1700,1823,1748,1747,1714,1704,1489,1222,1056,729,551,292
새천년대로,2023,4,7,사격장 > 용흥육교,252,195,102,90,89,316,520,578,796,1048,1088,1209,1265,1295,1374,1322,1309,1278,1097,944,804,594,418,251
새천년대로,2023,4,7,용흥육교 > 사격장,257,151,115,75,81,166,424,541,548,683,895,814,946,1216,1414,1482,1416,1229,1203,1016,808,667,464,289
새천년대로,2023,4,7,사격장 > 우현사거리,446,321,219,169,191,302,634,871,1162,1349,1699,1698,1778,1751,1847,1954,1950,1933,1871,1733,1434,1148,785,487
새천년대로,2023,4,7,우현사거리 > 사격장,273,209,127,111,93,276,600,714,980,1467,1459,1615,1608,1667,1745,1686,1691,1553,1311,1023,859,635,428,256
새천년대로,2023,4,7,영신고 > 우현사거리,36,52,41,36,56,103,277,300,387,618,710,809,818,863,913,996,989,944,718,497,318,192,141,71
새천년대로,2023,4,7,우현사거리 > 영신고,275,189,130,113,147,272,549,795,927,1178,1105,1202,1123,1233,1270,1374,1157,1269,1069,971,833,624,424,245
새천년대로,2023,4,7,우현사거리 > 포항고등학교,365,263,150,130,120,166,355,500,748,825,1208,1242,1364,1492,1567,1612,1720,1705,1726,1507,1231,974,660,435
새천년대로,2023,4,7,포항고등학교 > 우현사거리,317,229,140,124,107,271,496,652,857,1289,1262,1362,1360,1484,1428,1466,1339,1259,1069,949,833,660,448,254
새천년대로,2023,4,7,장성초등학교 > 창포사거리,296,228,130,111,98,154,335,460,631,798,1185,1129,1332,1251,1334,1363,1533,1414,1458,1155,990,775,525,327
