date,time,road,speed
5,21,3500006300-3500006301,23
5,22,3500006300-3500006301,23
6,20,3500006300-3500006301,20
6,21,3500006300-3500006301,24
6,22,3500006300-3500006301,25
7,20,3500006300-3500006301,21
7,21,3500006300-3500006301,21
7,22,3500006300-3500006301,24
8,20,3500006300-3500006301,29
8,21,3500006300-3500006301,29
8,22,3500006300-3500006301,29
9,20,3500006300-3500006301,28
9,21,3500006300-3500006301,28
9,22,3500006300-3500006301,27
10,20,3500006300-3500006301,20
10,21,3500006300-3500006301,23
10,22,3500006300-3500006301,28
11,20,3500006300-3500006301,27
11,21,3500006300-3500006301,27
11,22,3500006300-3500006301,27
12,20,3500006300-3500006301,25
12,21,3500006300-3500006301,32
12,22,3500006300-3500006301,28
13,20,3500006300-3500006301,23
13,21,3500006300-3500006301,23
13,22,3500006300-3500006301,26
14,20,3500006300-3500006301,24
14,21,3500006300-3500006301,27
14,22,3500006300-3500006301,29
15,20,3500006300-3500006301,30
15,21,3500006300-3500006301,29
15,22,3500006300-3500006301,29
16,20,3500006300-3500006301,25
16,21,3500006300-3500006301,26
16,22,3500006300-3500006301,29
17,20,3500006300-3500006301,29
17,21,3500006300-3500006301,25
17,22,3500006300-3500006301,21
18,20,3500006300-3500006301,32
18,21,3500006300-3500006301,32
18,22,3500006300-3500006301,32
19,20,3500006300-3500006301,25
19,21,3500006300-3500006301,26
19,22,3500006300-3500006301,28
20,20,3500006300-3500006301,25
20,21,3500006300-3500006301,24
20,22,3500006300-3500006301,27
21,20,3500006300-3500006301,24
21,21,3500006300-3500006301,25
21,22,3500006300-3500006301,33
22,20,3500006300-3500006301,28
22,21,3500006300-3500006301,30
22,22,3500006300-3500006301,35
23,20,3500006300-3500006301,31
23,21,3500006300-3500006301,32
23,22,3500006300-3500006301,32
25,20,3500006300-3500006301,27
25,21,3500006300-3500006301,25
25,22,3500006300-3500006301,25
26,20,3500006300-3500006301,29
26,21,3500006300-3500006301,29
26,22,3500006300-3500006301,29
27,20,3500006300-3500006301,23
27,21,3500006300-3500006301,26
27,22,3500006300-3500006301,27
28,20,3500006300-3500006301,29
28,21,3500006300-3500006301,28
28,22,3500006300-3500006301,21
29,20,3500006300-3500006301,32
29,21,3500006300-3500006301,34
29,22,3500006300-3500006301,35
30,20,3500006300-3500006301,29
30,21,3500006300-3500006301,28
30,22,3500006300-3500006301,28
1,20,3500007500-3500007900,37
1,21,3500007500-3500007900,38
1,22,3500007500-3500007900,44
1,20,3500007900-3500008000,37
1,21,3500007900-3500008000,38
1,22,3500007900-3500008000,44
3,20,3500007500-3500007900,38
3,21,3500007500-3500007900,42
3,22,3500007500-3500007900,47
3,20,3500007900-3500008000,38
3,21,3500007900-3500008000,42
3,22,3500007900-3500008000,47
4,20,3500007500-3500007900,35
4,21,3500007500-3500007900,37
4,22,3500007500-3500007900,46
4,20,3500007900-3500008000,35
4,21,3500007900-3500008000,37
4,22,3500007900-3500008000,46
5,20,3500007500-3500007900,36
5,21,3500007500-3500007900,40
5,22,3500007500-3500007900,43
5,20,3500007900-3500008000,36
5,21,3500007900-3500008000,40
5,22,3500007900-3500008000,43
6,20,3500007500-3500007900,36
6,21,3500007500-3500007900,38
6,22,3500007500-3500007900,44
6,20,3500007900-3500008000,36
6,21,3500007900-3500008000,38
6,22,3500007900-3500008000,44
7,20,3500007500-3500007900,35
7,21,3500007500-3500007900,37
