date,time,road,volume
2,6,3500007100-3500007400,441
2,7,3500007100-3500007400,710
2,8,3500007100-3500007400,914
2,9,3500007100-3500007400,819
2,10,3500007100-3500007400,864
2,11,3500007100-3500007400,950
2,12,3500007100-3500007400,969
2,13,3500007100-3500007400,951
2,14,3500007100-3500007400,1061
2,15,3500007100-3500007400,1088
2,16,3500007100-3500007400,1223
2,17,3500007100-3500007400,1636
2,18,3500007100-3500007400,1520
2,19,3500007100-3500007400,859
2,20,3500007100-3500007400,462
2,21,3500007100-3500007400,478
2,22,3500007100-3500007400,360
2,23,3500007100-3500007400,141
2,0,3500007400-3500007500,90
2,1,3500007400-3500007500,67
2,2,3500007400-3500007500,42
2,3,3500007400-3500007500,51
2,4,3500007400-3500007500,68
2,5,3500007400-3500007500,113
2,6,3500007400-3500007500,441
2,7,3500007400-3500007500,710
2,8,3500007400-3500007500,914
2,9,3500007400-3500007500,819
2,10,3500007400-3500007500,864
2,11,3500007400-3500007500,950
2,12,3500007400-3500007500,969
2,13,3500007400-3500007500,951
2,14,3500007400-3500007500,1061
2,15,3500007400-3500007500,1088
2,16,3500007400-3500007500,1223
2,17,3500007400-3500007500,1636
2,18,3500007400-3500007500,1520
2,19,3500007400-3500007500,859
2,20,3500007400-3500007500,462
2,21,3500007400-3500007500,478
2,22,3500007400-3500007500,360
2,23,3500007400-3500007500,141
2,0,3500006900-3500007100,54
2,1,3500006900-3500007100,36
2,2,3500006900-3500007100,36
2,3,3500006900-3500007100,29
2,4,3500006900-3500007100,46
2,5,3500006900-3500007100,80
2,6,3500006900-3500007100,412
2,7,3500006900-3500007100,651
2,8,3500006900-3500007100,742
2,9,3500006900-3500007100,681
2,10,3500006900-3500007100,757
2,11,3500006900-3500007100,823
2,12,3500006900-3500007100,860
2,13,3500006900-3500007100,862
2,14,3500006900-3500007100,976
2,15,3500006900-3500007100,1007
2,16,3500006900-3500007100,1096
2,17,3500006900-3500007100,1434
2,18,3500006900-3500007100,1349
2,19,3500006900-3500007100,657
2,20,3500006900-3500007100,316
2,21,3500006900-3500007100,343
2,22,3500006900-3500007100,271
2,23,3500006900-3500007100,76
2,0,3500007100-3500006900,82
2,1,3500007100-3500006900,57
2,2,3500007100-3500006900,45
2,3,3500007100-3500006900,48
2,4,3500007100-3500006900,89
2,5,3500007100-3500006900,581
2,6,3500007100-3500006900,1947
2,7,3500007100-3500006900,1771
2,8,3500007100-3500006900,1368
2,9,3500007100-3500006900,1036
2,10,3500007100-3500006900,829
2,11,3500007100-3500006900,816
2,12,3500007100-3500006900,843
2,13,3500007100-3500006900,867
2,14,3500007100-3500006900,790
2,15,3500007100-3500006900,815
2,16,3500007100-3500006900,757
2,17,3500007100-3500006900,917
2,18,3500007100-3500006900,1061
2,19,3500007100-3500006900,552
2,20,3500007100-3500006900,430
2,21,3500007100-3500006900,425
2,22,3500007100-3500006900,327
2,23,3500007100-3500006900,144
2,0,3500058900-3500007100,133
2,1,3500058900-3500007100,100
2,2,3500058900-3500007100,68
2,3,3500058900-3500007100,72
2,4,3500058900-3500007100,70
2,5,3500058900-3500007100,240
2,6,3500058900-3500007100,1043
2,7,3500058900-3500007100,1067
2,8,3500058900-3500007100,803
2,9,3500058900-3500007100,789
2,10,3500058900-3500007100,709
2,11,3500058900-3500007100,719
2,12,3500058900-3500007100,772
2,13,3500058900-3500007100,814
2,14,3500058900-3500007100,759
2,15,3500058900-3500007100,753
2,16,3500058900-3500007100,765
2,17,3500058900-3500007100,748
2,18,3500058900-3500007100,777
2,19,3500058900-3500007100,591
2,20,3500058900-3500007100,474
2,21,3500058900-3500007100,431
2,22,3500058900-3500007100,350
2,23,3500058900-3500007100,168
2,0,3500007100-3500058900,111
2,1,3500007100-3500058900,66
2,2,3500007100-3500058900,66
2,3,3500007100-3500058900,51
2,4,3500007100-3500058900,44
2,5,3500007100-3500058900,130
2,6,3500007100-3500058900,562
2,7,3500007100-3500058900,524
2,8,3500007100-3500058900,925
2,9,3500007100-3500058900,800
2,10,3500007100-3500058900,712
2,11,3500007100-3500058900,767
2,12,3500007100-3500058900,752
2,13,3500007100-3500058900,776
2,14,3500007100-3500058900,786
2,15,3500007100-3500058900,776
2,16,3500007100-3500058900,924
2,17,3500007100-3500058900,969
2,18,3500007100-3500058900,904
2,19,3500007100-3500058900,558
2,20,3500007100-3500058900,425
2,21,3500007100-3500058900,381
2,22,3500007100-3500058900,291
2,23,3500007100-3500058900,176
3,0,3500007500-3500007400,106
3,1,3500007500-3500007400,56
