date,time,road,volume
5,19,3500007900-3500007500,1173
5,17,3500007500-3500007900,1074
5,18,3500007500-3500007900,945
5,19,3500007500-3500007900,843
5,17,3500006700-3500007500,971
5,18,3500006700-3500007500,828
5,19,3500006700-3500007500,775
5,17,3500007500-3500006700,1270
5,18,3500007500-3500006700,1275
5,19,3500007500-3500006700,999
5,17,3500059000-3500007500,905
5,18,3500059000-3500007500,840
5,19,3500059000-3500007500,510
5,17,3500007500-3500059000,1035
5,18,3500007500-3500059000,1246
5,19,3500007500-3500059000,802
5,17,3510000500-3510000400,2060
5,18,3510000500-3510000400,1980
5,19,3510000500-3510000400,1451
5,17,3510000400-3510000500,2283
5,18,3510000400-3510000500,2281
5,19,3510000400-3510000500,1769
5,17,3510000450-3510000400,2276
5,18,3510000450-3510000400,2279
5,19,3510000450-3510000400,1907
5,17,3510000400-3510000450,2074
5,18,3510000400-3510000450,1960
5,19,3510000400-3510000450,1486
6,17,3500007900-3500007500,1387
6,18,3500007900-3500007500,1316
6,19,3500007900-3500007500,1088
6,17,3500007500-3500007900,1010
6,18,3500007500-3500007900,983
6,19,3500007500-3500007900,727
6,17,3500006700-3500007500,841
6,18,3500006700-3500007500,862
6,19,3500006700-3500007500,672
6,17,3500007500-3500006700,1146
6,18,3500007500-3500006700,1026
6,19,3500007500-3500006700,934
6,17,3500059000-3500007500,778
6,18,3500059000-3500007500,638
6,19,3500059000-3500007500,430
6,17,3500007500-3500059000,819
6,18,3500007500-3500059000,734
6,19,3500007500-3500059000,624
6,17,3510000500-3510000400,1930
6,18,3510000500-3510000400,1739
6,19,3510000500-3510000400,1359
6,17,3510000400-3510000500,1982
6,18,3510000400-3510000500,1729
6,19,3510000400-3510000500,1428
6,17,3510000450-3510000400,1995
6,18,3510000450-3510000400,1776
6,19,3510000450-3510000400,1590
6,17,3510000400-3510000450,1900
6,18,3510000400-3510000450,1747
6,19,3510000400-3510000450,1383
7,17,3500007900-3500007500,1186
7,18,3500007900-3500007500,1133
7,19,3500007900-3500007500,1133
7,17,3500007500-3500007900,904
7,18,3500007500-3500007900,914
7,19,3500007500-3500007900,698
7,17,3500006700-3500007500,790
7,18,3500006700-3500007500,798
7,19,3500006700-3500007500,598
7,17,3500007500-3500006700,994
7,18,3500007500-3500006700,903
7,19,3500007500-3500006700,965
7,17,3500059000-3500007500,690
7,18,3500059000-3500007500,580
7,19,3500059000-3500007500,419
7,17,3500007500-3500059000,699
7,18,3500007500-3500059000,679
7,19,3500007500-3500059000,569
7,17,3510000500-3510000400,1691
7,18,3510000500-3510000400,1508
7,19,3510000500-3510000400,1221
7,17,3510000400-3510000500,1730
7,18,3510000400-3510000500,1498
7,19,3510000400-3510000500,1472
7,17,3510000450-3510000400,1782
7,18,3510000450-3510000400,1540
7,19,3510000450-3510000400,1613
7,17,3510000400-3510000450,1704
7,18,3510000400-3510000450,1489
7,19,3510000400-3510000450,1222
8,17,3500007900-3500007500,1428
8,18,3500007900-3500007500,1362
8,19,3500007900-3500007500,1014
8,17,3500007500-3500007900,1098
8,18,3500007500-3500007900,1054
8,19,3500007500-3500007900,695
8,17,3500006700-3500007500,907
8,18,3500006700-3500007500,931
8,19,3500006700-3500007500,605
8,17,3500007500-3500006700,1194
8,18,3500007500-3500006700,1198
8,19,3500007500-3500006700,835
8,17,3500059000-3500007500,833
8,18,3500059000-3500007500,803
8,19,3500059000-3500007500,402
8,17,3500007500-3500059000,1284
8,18,3500007500-3500059000,1304
8,19,3500007500-3500059000,750
8,17,3510000500-3510000400,1950
8,18,3510000500-3510000400,1823
8,19,3510000500-3510000400,1271
8,17,3510000400-3510000500,2315
8,18,3510000400-3510000500,2155
8,19,3510000400-3510000500,1508
8,17,3510000450-3510000400,2280
8,18,3510000450-3510000400,2161
8,19,3510000450-3510000400,1637
8,17,3510000400-3510000450,1945
8,18,3510000400-3510000450,1800
8,19,3510000400-3510000450,1255
9,17,3500007900-3500007500,1321
9,18,3500007900-3500007500,1408
9,19,3500007900-3500007500,1057
9,17,3500007500-3500007900,1040
9,18,3500007500-3500007900,1085
9,19,3500007500-3500007900,753
9,17,3500006700-3500007500,927
9,18,3500006700-3500007500,1002
9,19,3500006700-3500007500,662
9,17,3500007500-3500006700,1169
9,18,3500007500-3500006700,1219
9,19,3500007500-3500006700,882
9,17,3500059000-3500007500,792
9,18,3500059000-3500007500,852
9,19,3500059000-3500007500,488
9,17,3500007500-3500059000,1133
9,18,3500007500-3500059000,1376
9,19,3500007500-3500059000,774
9,17,3510000500-3510000400,1991
9,18,3510000500-3510000400,1962
9,19,3510000500-3510000400,1301
9,17,3510000400-3510000500,2231
9,18,3510000400-3510000500,2162
9,19,3510000400-3510000500,1636
9,17,3510000450-3510000400,2207
9,18,3510000450-3510000400,2149
9,19,3510000450-3510000400,1775
9,17,3510000400-3510000450,1969
9,18,3510000400-3510000450,1955
9,19,3510000400-3510000450,1309
10,17,3500007900-3500007500,0
10,18,3500007900-3500007500,0
10,19,3500007900-3500007500,0
10,17,3500007500-3500007900,255
10,18,3500007500-3500007900,250
10,19,3500007500-3500007900,174
10,17,3500006700-3500007500,0
10,18,3500006700-3500007500,0
10,19,3500006700-3500007500,0
10,17,3500007500-3500006700,199
10,18,3500007500-3500006700,147
10,19,3500007500-3500006700,136
10,17,3500059000-3500007500,613
10,18,3500059000-3500007500,597
10,19,3500059000-3500007500,358
10,17,3500007500-3500059000,804
10,18,3500007500-3500059000,630
10,19,3500007500-3500059000,600
10,17,3510000500-3510000400,0
10,18,3510000500-3510000400,0
10,19,3510000500-3510000400,0
10,17,3510000400-3510000500,227
10,18,3510000400-3510000500,256
10,19,3510000400-3510000500,125
10,17,3510000450-3510000400,0
10,18,3510000450-3510000400,0
10,19,3510000450-3510000400,0
10,17,3510000400-3510000450,165
10,18,3510000400-3510000450,138
10,19,3510000400-3510000450,119
11,17,3500007900-3500007500,1418
11,18,3500007900-3500007500,1316
11,19,3500007900-3500007500,1034
11,17,3500007500-3500007900,1106
11,18,3500007500-3500007900,1083
11,19,3500007500-3500007900,740
11,17,3500006700-3500007500,963
11,18,3500006700-3500007500,956
11,19,3500006700-3500007500,628
11,17,3500007500-3500006700,1228
11,18,3500007500-3500006700,1151
11,19,3500007500-3500006700,900
11,17,3500059000-3500007500,853
11,18,3500059000-3500007500,814
11,19,3500059000-3500007500,474
11,17,3500007500-3500059000,1332
11,18,3500007500-3500059000,1282
11,19,3500007500-3500059000,778
11,17,3510000500-3510000400,1980
11,18,3510000500-3510000400,1863
11,19,3510000500-3510000400,1226
11,17,3510000400-3510000500,2319
11,18,3510000400-3510000500,2185
11,19,3510000400-3510000500,1625
11,17,3510000450-3510000400,2248
11,18,3510000450-3510000400,2146
11,19,3510000450-3510000400,1728
11,17,3510000400-3510000450,2010
11,18,3510000400-3510000450,1864
11,19,3510000400-3510000450,1227
12,17,3500007900-3500007500,1355
12,18,3500007900-3500007500,1372
12,19,3500007900-3500007500,1134
12,17,3500007500-3500007900,1085
12,18,3500007500-3500007900,1085
12,19,3500007500-3500007900,799
12,17,3500006700-3500007500,961
12,18,3500006700-3500007500,1006
12,19,3500006700-3500007500,709
12,17,3500007500-3500006700,1198
12,18,3500007500-3500006700,1215
12,19,3500007500-3500006700,945
12,17,3500059000-3500007500,852
12,18,3500059000-3500007500,856
12,19,3500059000-3500007500,510
12,17,3500007500-3500059000,1202
12,18,3500007500-3500059000,1132
12,19,3500007500-3500059000,715
12,17,3510000500-3510000400,2013
12,18,3510000500-3510000400,1988
12,19,3510000500-3510000400,1428
12,17,3510000400-3510000500,2293
12,18,3510000400-3510000500,2240
12,19,3510000400-3510000500,1704
12,17,3510000450-3510000400,2291
12,18,3510000450-3510000400,2227
12,19,3510000450-3510000400,1839
12,17,3510000400-3510000450,2039
12,18,3510000400-3510000450,1968
12,19,3510000400-3510000450,1424
13,17,3500007900-3500007500,1289
13,18,3500007900-3500007500,1194
13,19,3500007900-3500007500,1039
13,17,3500007500-3500007900,1049
13,18,3500007500-3500007900,916
13,19,3500007500-3500007900,740
13,17,3500006700-3500007500,875
13,18,3500006700-3500007500,820
13,19,3500006700-3500007500,669
13,17,3500007500-3500006700,1098
13,18,3500007500-3500006700,995
13,19,3500007500-3500006700,875
13,17,3500059000-3500007500,737
13,18,3500059000-3500007500,585
13,19,3500059000-3500007500,386
13,17,3500007500-3500059000,756
13,18,3500007500-3500059000,719
13,19,3500007500-3500059000,652
13,17,3510000500-3510000400,1970
13,18,3510000500-3510000400,1816
13,19,3510000500-3510000400,1297
13,17,3510000400-3510000500,1885
13,18,3510000400-3510000500,1678
13,19,3510000400-3510000500,1415
13,17,3510000450-3510000400,1948
13,18,3510000450-3510000400,1755
13,19,3510000450-3510000400,1532
13,17,3510000400-3510000450,1943
13,18,3510000400-3510000450,1764
13,19,3510000400-3510000450,1304
14,17,3500007900-3500007500,1125
14,18,3500007900-3500007500,1189
14,19,3500007900-3500007500,917
14,17,3500007500-3500007900,942
14,18,3500007500-3500007900,863
14,19,3500007500-3500007900,676
14,17,3500006700-3500007500,796
14,18,3500006700-3500007500,728
14,19,3500006700-3500007500,597
14,17,3500007500-3500006700,951
14,18,3500007500-3500006700,941
14,19,3500007500-3500006700,788
14,17,3500059000-3500007500,625
14,18,3500059000-3500007500,605
14,19,3500059000-3500007500,383
14,17,3500007500-3500059000,744
14,18,3500007500-3500059000,616
14,19,3500007500-3500059000,538
14,17,3510000500-3510000400,1685
14,18,3510000500-3510000400,1480
14,19,3510000500-3510000400,1137
14,17,3510000400-3510000500,1599
14,18,3510000400-3510000500,1532
14,19,3510000400-3510000500,1282
14,17,3510000450-3510000400,1656
14,18,3510000450-3510000400,1575
14,19,3510000450-3510000400,1409
14,17,3510000400-3510000450,1709
14,18,3510000400-3510000450,1485
14,19,3510000400-3510000450,1141
15,17,3500007900-3500007500,1236
15,18,3500007900-3500007500,1220
15,19,3500007900-3500007500,743
15,17,3500007500-3500007900,1033
15,18,3500007500-3500007900,976
15,19,3500007500-3500007900,529
15,17,3500006700-3500007500,864
15,18,3500006700-3500007500,884
15,19,3500006700-3500007500,510
15,17,3500007500-3500006700,1113
15,18,3500007500-3500006700,1139
15,19,3500007500-3500006700,700
15,17,3500059000-3500007500,773
15,18,3500059000-3500007500,786
15,19,3500059000-3500007500,256
15,17,3500007500-3500059000,1222
15,18,3500007500-3500059000,1238
15,19,3500007500-3500059000,689
15,17,3510000500-3510000400,1863
15,18,3510000500-3510000400,1727
15,19,3510000500-3510000400,893
15,17,3510000400-3510000500,2225
15,18,3510000400-3510000500,2102
15,19,3510000400-3510000500,1380
15,17,3510000450-3510000400,2214
15,18,3510000450-3510000400,2109
15,19,3510000450-3510000400,1571
15,17,3510000400-3510000450,1845
15,18,3510000400-3510000450,1701
15,19,3510000400-3510000450,900
16,17,3500007900-3500007500,1335
16,18,3500007900-3500007500,1343
16,19,3500007900-3500007500,1010
16,17,3500007500-3500007900,1042
16,18,3500007500-3500007900,1023
16,19,3500007500-3500007900,699
16,17,3500006700-3500007500,898
16,18,3500006700-3500007500,912
16,19,3500006700-3500007500,613
16,17,3500007500-3500006700,1186
16,18,3500007500-3500006700,1177
16,19,3500007500-3500006700,846
16,17,3500059000-3500007500,838
16,18,3500059000-3500007500,823
16,19,3500059000-3500007500,482
16,17,3500007500-3500059000,1122
16,18,3500007500-3500059000,1239
16,19,3500007500-3500059000,796
16,17,3510000500-3510000400,2000
16,18,3510000500-3510000400,1879
16,19,3510000500-3510000400,1237
16,17,3510000400-3510000500,2289
16,18,3510000400-3510000500,2174
16,19,3510000400-3510000500,1603
16,17,3510000450-3510000400,2266
16,18,3510000450-3510000400,2134
16,19,3510000450-3510000400,1680
16,17,3510000400-3510000450,1991
16,18,3510000400-3510000450,1846
16,19,3510000400-3510000450,1241
17,17,3500007900-3500007500,1414
17,18,3500007900-3500007500,1308
17,19,3500007900-3500007500,1004
17,17,3500007500-3500007900,1113
17,18,3500007500-3500007900,1012
17,19,3500007500-3500007900,730
17,17,3500006700-3500007500,951
17,18,3500006700-3500007500,903
17,19,3500006700-3500007500,623
17,17,3500007500-3500006700,1236
17,18,3500007500-3500006700,1169
17,19,3500007500-3500006700,851
17,17,3500059000-3500007500,880
17,18,3500059000-3500007500,880
17,19,3500059000-3500007500,448
17,17,3500007500-3500059000,1278
17,18,3500007500-3500059000,1286
17,19,3500007500-3500059000,766
17,17,3510000500-3510000400,2004
17,18,3510000500-3510000400,1815
17,19,3510000500-3510000400,1220
17,17,3510000400-3510000500,2310
17,18,3510000400-3510000500,2144
17,19,3510000400-3510000500,1661
17,17,3510000450-3510000400,2272
17,18,3510000450-3510000400,2118
17,19,3510000450-3510000400,1754
17,17,3510000400-3510000450,2031
17,18,3510000400-3510000450,1824
17,19,3510000400-3510000450,1228
18,17,3500007900-3500007500,1356
18,18,3500007900-3500007500,1333
18,19,3500007900-3500007500,1004
18,17,3500007500-3500007900,1068
18,18,3500007500-3500007900,1036
18,19,3500007500-3500007900,754
18,17,3500006700-3500007500,906
18,18,3500006700-3500007500,938
18,19,3500006700-3500007500,627
18,17,3500007500-3500006700,1201
18,18,3500007500-3500006700,1187
18,19,3500007500-3500006700,867
18,17,3500059000-3500007500,850
18,18,3500059000-3500007500,825
18,19,3500059000-3500007500,454
18,17,3500007500-3500059000,1207
18,18,3500007500-3500059000,1275
18,19,3500007500-3500059000,746
18,17,3510000500-3510000400,1990
18,18,3510000500-3510000400,1894
18,19,3510000500-3510000400,1227
18,17,3510000400-3510000500,2319
18,18,3510000400-3510000500,2125
18,19,3510000400-3510000500,1529
18,17,3510000450-3510000400,2280
18,18,3510000450-3510000400,2102
18,19,3510000450-3510000400,1642
18,17,3510000400-3510000450,1956
18,18,3510000400-3510000450,1862
18,19,3510000400-3510000450,1250
19,17,3500007900-3500007500,1455
19,18,3500007900-3500007500,1461
19,19,3500007900-3500007500,1125
19,17,3500007500-3500007900,1078
19,18,3500007500-3500007900,1142
19,19,3500007500-3500007900,864
19,17,3500006700-3500007500,953
19,18,3500006700-3500007500,1006
19,19,3500006700-3500007500,731
19,17,3500007500-3500006700,1295
19,18,3500007500-3500006700,1293
19,19,3500007500-3500006700,949
19,17,3500059000-3500007500,894
19,18,3500059000-3500007500,884
19,19,3500059000-3500007500,499
19,17,3500007500-3500059000,1338
19,18,3500007500-3500059000,1236
19,19,3500007500-3500059000,803
19,17,3510000500-3510000400,2001
19,18,3510000500-3510000400,1976
19,19,3510000500-3510000400,1422
19,17,3510000400-3510000500,2399
19,18,3510000400-3510000500,2232
19,19,3510000400-3510000500,1692
19,17,3510000450-3510000400,2320
19,18,3510000450-3510000400,2204
19,19,3510000450-3510000400,1805
19,17,3510000400-3510000450,2013
19,18,3510000400-3510000450,1949
19,19,3510000400-3510000450,1423
20,17,3500007900-3500007500,1229
20,18,3500007900-3500007500,1076
20,19,3500007900-3500007500,792
20,17,3500007500-3500007900,1013
20,18,3500007500-3500007900,968
20,19,3500007500-3500007900,617
20,17,3500006700-3500007500,871
20,18,3500006700-3500007500,816
20,19,3500006700-3500007500,523
20,17,3500007500-3500006700,1017
20,18,3500007500-3500006700,909
20,19,3500007500-3500006700,745
20,17,3500059000-3500007500,625
20,18,3500059000-3500007500,599
20,19,3500059000-3500007500,333
20,17,3500007500-3500059000,869
20,18,3500007500-3500059000,663
20,19,3500007500-3500059000,611
20,17,3510000500-3510000400,1913
20,18,3510000500-3510000400,1623
20,19,3510000500-3510000400,1030
20,17,3510000400-3510000500,1775
20,18,3510000400-3510000500,1475
20,19,3510000400-3510000500,1279
20,17,3510000450-3510000400,1843
20,18,3510000450-3510000400,1576
20,19,3510000450-3510000400,1394
20,17,3510000400-3510000450,1904
20,18,3510000400-3510000450,1610
20,19,3510000400-3510000450,1067
21,17,3500007900-3500007500,1075
21,18,3500007900-3500007500,961
21,19,3500007900-3500007500,723
21,17,3500007500-3500007900,805
21,18,3500007500-3500007900,776
21,19,3500007500-3500007900,582
21,17,3500006700-3500007500,688
21,18,3500006700-3500007500,662
21,19,3500006700-3500007500,503
21,17,3500007500-3500006700,885
21,18,3500007500-3500006700,769
21,19,3500007500-3500006700,632
21,17,3500059000-3500007500,587
21,18,3500059000-3500007500,444
21,19,3500059000-3500007500,332
21,17,3500007500-3500059000,615
21,18,3500007500-3500059000,560
21,19,3500007500-3500059000,507
21,17,3510000500-3510000400,1603
21,18,3510000500-3510000400,1357
21,19,3510000500-3510000400,983
21,17,3510000400-3510000500,1470
21,18,3510000400-3510000500,1325
21,19,3510000400-3510000500,1152
21,17,3510000450-3510000400,1528
21,18,3510000450-3510000400,1402
21,19,3510000450-3510000400,1258
21,17,3510000400-3510000450,1591
21,18,3510000400-3510000450,1351
21,19,3510000400-3510000450,1007
22,17,3500007900-3500007500,1329
22,18,3500007900-3500007500,1358
22,19,3500007900-3500007500,990
22,17,3500007500-3500007900,1067
22,18,3500007500-3500007900,1061
22,19,3500007500-3500007900,683
22,17,3500006700-3500007500,914
22,18,3500006700-3500007500,946
22,19,3500006700-3500007500,577
22,17,3500007500-3500006700,1089
22,18,3500007500-3500006700,1185
22,19,3500007500-3500006700,840
22,17,3500059000-3500007500,884
22,18,3500059000-3500007500,792
22,19,3500059000-3500007500,395
22,17,3500007500-3500059000,1292
22,18,3500007500-3500059000,1278
22,19,3500007500-3500059000,760
22,17,3510000500-3510000400,1970
22,18,3510000500-3510000400,1800
22,19,3510000500-3510000400,1140
22,17,3510000400-3510000500,2195
22,18,3510000400-3510000500,2286
22,19,3510000400-3510000500,1584
22,17,3510000450-3510000400,2089
22,18,3510000450-3510000400,2272
22,19,3510000450-3510000400,1683
22,17,3510000400-3510000450,2022
22,18,3510000400-3510000450,1821
22,19,3510000400-3510000450,1162
23,17,3500007900-3500007500,1429
23,18,3500007900-3500007500,1304
23,19,3500007900-3500007500,985
23,17,3500007500-3500007900,1126
23,18,3500007500-3500007900,1015
23,19,3500007500-3500007900,679
23,17,3500006700-3500007500,939
23,18,3500006700-3500007500,873
23,19,3500006700-3500007500,558
23,17,3500007500-3500006700,1227
23,18,3500007500-3500006700,1153
23,19,3500007500-3500006700,830
23,17,3500059000-3500007500,894
23,18,3500059000-3500007500,844
23,19,3500059000-3500007500,404
23,17,3500007500-3500059000,1343
23,18,3500007500-3500059000,1268
23,19,3500007500-3500059000,770
23,17,3510000500-3510000400,1974
23,18,3510000500-3510000400,1749
23,19,3510000500-3510000400,1143
23,17,3510000400-3510000500,2261
23,18,3510000400-3510000500,2175
23,19,3510000400-3510000500,1520
23,17,3510000450-3510000400,2197
23,18,3510000450-3510000400,2139
23,19,3510000450-3510000400,1660
23,17,3510000400-3510000450,2014
23,18,3510000400-3510000450,1741
23,19,3510000400-3510000450,1166
25,17,3500007900-3500007500,1455
25,18,3500007900-3500007500,1353
25,19,3500007900-3500007500,1008
25,17,3500007500-3500007900,1062
25,18,3500007500-3500007900,1067
25,19,3500007500-3500007900,727
25,17,3500006700-3500007500,922
25,18,3500006700-3500007500,975
25,19,3500006700-3500007500,620
25,17,3500007500-3500006700,1256
25,18,3500007500-3500006700,1151
25,19,3500007500-3500006700,853
25,17,3500059000-3500007500,861
25,18,3500059000-3500007500,859
25,19,3500059000-3500007500,485
25,17,3500007500-3500059000,1181
25,18,3500007500-3500059000,1223
25,19,3500007500-3500059000,787
25,17,3510000500-3510000400,1934
25,18,3510000500-3510000400,1875
25,19,3510000500-3510000400,1265
25,17,3510000400-3510000500,2232
25,18,3510000400-3510000500,2210
25,19,3510000400-3510000500,1580
25,17,3510000450-3510000400,2208
25,18,3510000450-3510000400,2168
25,19,3510000450-3510000400,1741
25,17,3510000400-3510000450,1924
25,18,3510000400-3510000450,1868
25,19,3510000400-3510000450,1271
26,17,3500007900-3500007500,1427
26,18,3500007900-3500007500,1426
26,19,3500007900-3500007500,1103
26,17,3500007500-3500007900,1070
26,18,3500007500-3500007900,1129
26,19,3500007500-3500007900,829
26,17,3500006700-3500007500,961
26,18,3500006700-3500007500,990
26,19,3500006700-3500007500,702
26,17,3500007500-3500006700,1292
26,18,3500007500-3500006700,1184
26,19,3500007500-3500006700,927
26,17,3500059000-3500007500,860
26,18,3500059000-3500007500,927
26,19,3500059000-3500007500,558
26,17,3500007500-3500059000,1317
26,18,3500007500-3500059000,1033
26,19,3500007500-3500059000,732
26,17,3510000500-3510000400,2051
26,18,3510000500-3510000400,1950
26,19,3510000500-3510000400,1405
26,17,3510000400-3510000500,2437
26,18,3510000400-3510000500,2270
26,19,3510000400-3510000500,1609
26,17,3510000450-3510000400,2325
26,18,3510000450-3510000400,2226
26,19,3510000450-3510000400,1692
26,17,3510000400-3510000450,2074
26,18,3510000400-3510000450,1958
26,19,3510000400-3510000450,1405
27,17,3500007900-3500007500,1247
27,18,3500007900-3500007500,1250
27,19,3500007900-3500007500,1032
27,17,3500007500-3500007900,1060
27,18,3500007500-3500007900,893
27,19,3500007500-3500007900,770
27,17,3500006700-3500007500,877
27,18,3500006700-3500007500,780
27,19,3500006700-3500007500,640
27,17,3500007500-3500006700,1101
27,18,3500007500-3500006700,1016
27,19,3500007500-3500006700,840
27,17,3500059000-3500007500,707
27,18,3500059000-3500007500,579
27,19,3500059000-3500007500,448
27,17,3500007500-3500059000,854
27,18,3500007500-3500059000,738
27,19,3500007500-3500059000,691
27,17,3510000500-3510000400,1999
27,18,3510000500-3510000400,1807
27,19,3510000500-3510000400,1349
27,17,3510000400-3510000500,1838
27,18,3510000400-3510000500,1754
27,19,3510000400-3510000500,1468
27,17,3510000450-3510000400,1898
27,18,3510000450-3510000400,1781
27,19,3510000450-3510000400,1569
27,17,3510000400-3510000450,1977
27,18,3510000400-3510000450,1790
27,19,3510000400-3510000450,1350
28,17,3500007900-3500007500,1169
28,18,3500007900-3500007500,1074
28,19,3500007900-3500007500,940
28,17,3500007500-3500007900,958
28,18,3500007500-3500007900,896
28,19,3500007500-3500007900,706
28,17,3500006700-3500007500,808
28,18,3500006700-3500007500,815
28,19,3500006700-3500007500,619
28,17,3500007500-3500006700,1040
28,18,3500007500-3500006700,850
28,19,3500007500-3500006700,799
28,17,3500059000-3500007500,652
28,18,3500059000-3500007500,535
28,19,3500059000-3500007500,411
28,17,3500007500-3500059000,798
28,18,3500007500-3500059000,656
28,19,3500007500-3500059000,573
28,17,3510000500-3510000400,1727
28,18,3510000500-3510000400,1647
28,19,3510000500-3510000400,1214
28,17,3510000400-3510000500,1698
28,18,3510000400-3510000500,1446
28,19,3510000400-3510000500,1318
28,17,3510000450-3510000400,1711
28,18,3510000450-3510000400,1496
28,19,3510000450-3510000400,1430
28,17,3510000400-3510000450,1741
28,18,3510000400-3510000450,1634
28,19,3510000400-3510000450,1201
29,17,3500007900-3500007500,1325
29,18,3500007900-3500007500,1292
29,19,3500007900-3500007500,890
29,17,3500007500-3500007900,1067
29,18,3500007500-3500007900,1037
29,19,3500007500-3500007900,662
29,17,3500006700-3500007500,911
29,18,3500006700-3500007500,891
29,19,3500006700-3500007500,599
29,17,3500007500-3500006700,1102
29,18,3500007500-3500006700,1130
29,19,3500007500-3500006700,774
29,17,3500059000-3500007500,870
29,18,3500059000-3500007500,829
29,19,3500059000-3500007500,410
29,17,3500007500-3500059000,1339
29,18,3500007500-3500059000,1249
29,19,3500007500-3500059000,722
29,17,3510000500-3510000400,1915
29,18,3510000500-3510000400,1737
29,19,3510000500-3510000400,1113
29,17,3510000400-3510000500,2292
29,18,3510000400-3510000500,2165
29,19,3510000400-3510000500,1479
29,17,3510000450-3510000400,2259
29,18,3510000450-3510000400,2126
29,19,3510000450-3510000400,1569
29,17,3510000400-3510000450,1920
29,18,3510000400-3510000450,1763
29,19,3510000400-3510000450,1135
30,17,3500007900-3500007500,1405
30,18,3500007900-3500007500,1379
30,19,3500007900-3500007500,1060
30,17,3500007500-3500007900,1127
30,18,3500007500-3500007900,1072
30,19,3500007500-3500007900,734
30,17,3500006700-3500007500,968
30,18,3500006700-3500007500,960
30,19,3500006700-3500007500,587
30,17,3500007500-3500006700,1226
30,18,3500007500-3500006700,1187
30,19,3500007500-3500006700,914
30,17,3500059000-3500007500,836
30,18,3500059000-3500007500,851
30,19,3500059000-3500007500,461
30,17,3500007500-3500059000,1328
30,18,3500007500-3500059000,1319
30,19,3500007500-3500059000,815
30,17,3510000500-3510000400,1919
30,18,3510000500-3510000400,1745
30,19,3510000500-3510000400,1254
30,17,3510000400-3510000500,2299
30,18,3510000400-3510000500,2233
30,19,3510000400-3510000500,1565
30,17,3510000450-3510000400,2278
30,18,3510000450-3510000400,2182
30,19,3510000450-3510000400,1700
30,17,3510000400-3510000450,1960
30,18,3510000400-3510000450,1719
30,19,3510000400-3510000450,1292
