road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
희망대로,2023,4,15,한전사거리 > 섬안사거리,64,44,45,52,90,593,1925,1706,1297,990,902,877,907,919,777,726,731,811,732,123,227,252,207,0
희망대로,2023,4,15,시외버스터미널 > 한전사거리,106,69,56,63,70,273,1003,1062,827,781,805,786,853,807,706,702,717,707,696,385,326,318,250,0
희망대로,2023,4,15,한전사거리 > 시외버스터미널,86,73,55,41,58,135,554,465,916,785,775,861,781,783,768,765,791,855,756,197,321,304,238,0
희망대로,2023,4,16,대잠사거리 > 한전사거리,76,60,44,41,77,486,1358,1348,1398,1037,932,843,861,923,806,828,910,990,1055,584,456,397,280,0
희망대로,2023,4,16,한전사거리 > 대잠사거리,80,55,37,46,56,121,390,629,819,842,854,936,912,1006,862,917,1150,1442,1421,784,442,412,267,0
희망대로,2023,4,16,섬안사거리 > 한전사거리,64,39,31,33,41,99,354,538,625,677,712,838,835,932,752,792,1001,1204,1268,676,323,321,200,0
희망대로,2023,4,16,한전사거리 > 섬안사거리,54,47,33,40,81,578,1913,1685,1327,989,789,707,817,929,728,799,782,871,944,496,394,371,269,0
희망대로,2023,4,16,시외버스터미널 > 한전사거리,85,86,56,44,51,238,999,1006,826,712,661,678,718,725,661,671,685,695,708,517,470,432,324,0
희망대로,2023,4,16,한전사거리 > 시외버스터미널,95,76,61,53,59,162,548,588,963,886,764,794,710,736,814,815,881,937,916,570,449,440,275,0
희망대로,2023,4,17,대잠사거리 > 한전사거리,98,57,50,48,82,510,1403,1290,1465,1075,865,915,844,885,879,815,896,1031,1046,538,485,381,294,0
희망대로,2023,4,17,한전사거리 > 대잠사거리,76,73,48,45,56,147,453,663,762,793,853,979,974,964,944,1214,1203,1577,1505,752,421,388,239,0
희망대로,2023,4,17,섬안사거리 > 한전사거리,54,59,29,37,44,109,426,601,543,622,717,895,903,864,854,1110,1128,1388,1340,625,281,252,169,0
희망대로,2023,4,17,한전사거리 > 섬안사거리,73,53,51,50,78,625,2016,1718,1430,1037,741,780,849,911,858,761,831,874,904,504,385,344,266,0
희망대로,2023,4,17,시외버스터미널 > 한전사거리,121,103,81,63,67,289,1074,1056,871,729,658,699,716,815,743,782,748,680,752,547,475,426,309,0
희망대로,2023,4,17,한전사거리 > 시외버스터미널,128,103,80,52,76,158,567,594,970,849,757,817,738,785,793,834,905,973,866,542,484,380,325,0
희망대로,2023,4,18,대잠사거리 > 한전사거리,96,77,58,47,83,471,1392,1326,1431,1091,889,871,817,865,768,811,845,1000,1016,500,460,386,304,0
희망대로,2023,4,18,한전사거리 > 대잠사거리,96,63,60,40,62,129,447,593,774,762,847,903,917,918,841,920,1161,1526,1528,754,401,371,264,0
희망대로,2023,4,18,섬안사거리 > 한전사거리,50,38,32,29,38,101,384,538,582,582,731,827,812,844,762,803,1028,1277,1335,594,271,254,180,0
희망대로,2023,4,18,한전사거리 > 섬안사거리,80,58,55,52,100,590,2009,1693,1383,1060,783,710,796,930,724,779,748,850,917,465,396,362,281,0
희망대로,2023,4,18,시외버스터미널 > 한전사거리,114,96,79,70,90,285,1087,989,786,711,638,605,748,841,630,698,724,716,753,579,475,515,329,0
희망대로,2023,4,18,한전사거리 > 시외버스터미널,123,98,69,44,59,152,558,580,973,796,725,776,743,759,720,751,817,928,881,535,425,404,304,0
희망대로,2023,4,19,대잠사거리 > 한전사거리,120,85,48,39,87,463,1314,1200,1432,1064,1006,957,866,962,932,909,900,1109,1068,652,549,432,288,0
희망대로,2023,4,19,한전사거리 > 대잠사거리,89,75,57,46,48,152,438,479,695,814,843,968,1057,1020,1043,1057,1202,1556,1405,741,418,394,306,0
희망대로,2023,4,19,섬안사거리 > 한전사거리,60,49,34,32,39,121,368,361,478,593,688,830,940,928,941,906,1104,1364,1317,607,271,269,219,0
희망대로,2023,4,19,한전사거리 > 섬안사거리,101,63,50,49,83,588,1889,1612,1380,975,847,753,789,963,880,852,827,951,868,531,453,384,267,0
희망대로,2023,4,19,시외버스터미널 > 한전사거리,143,109,91,76,75,276,1034,964,821,723,657,722,769,817,713,726,763,739,716,601,548,523,368,0
희망대로,2023,4,19,한전사거리 > 시외버스터미널,133,130,70,48,69,143,500,475,946,853,827,831,814,849,875,844,956,1014,966,664,508,429,325,0
희망대로,2023,4,20,대잠사거리 > 한전사거리,111,76,58,48,79,246,624,635,749,791,917,963,991,919,853,940,739,781,624,384,354,317,199,0
희망대로,2023,4,20,한전사거리 > 대잠사거리,105,86,64,63,60,133,446,601,638,824,899,1002,1087,1031,1061,1145,827,920,489,276,240,193,165,0
희망대로,2023,4,20,섬안사거리 > 한전사거리,62,59,45,39,48,92,362,562,527,674,716,821,962,860,982,1043,715,816,247,155,110,94,96,0
희망대로,2023,4,20,한전사거리 > 섬안사거리,115,70,54,46,74,318,990,774,761,815,895,975,1014,904,824,926,657,741,584,293,316,270,164,0
희망대로,2023,4,20,시외버스터미널 > 한전사거리,179,155,111,92,91,233,717,581,642,765,814,830,863,833,788,810,632,641,611,417,394,369,228,0
희망대로,2023,4,20,한전사거리 > 시외버스터미널,164,138,108,77,73,128,301,367,600,702,731,825,856,770,805,804,743,753,555,354,410,350,245,0
희망대로,2023,4,21,대잠사거리 > 한전사거리,16,17,8,14,2,81,292,362,406,490,716,762,732,758,733,699,646,859,671,496,501,410,258,0
희망대로,2023,4,21,한전사거리 > 대잠사거리,73,49,40,30,18,51,166,376,437,464,524,646,745,597,720,878,705,676,590,447,328,261,155,0
희망대로,2023,4,21,섬안사거리 > 한전사거리,24,13,7,12,5,18,129,347,334,339,356,465,566,408,585,695,561,571,470,310,195,183,102,0
희망대로,2023,4,21,한전사거리 > 섬안사거리,43,35,22,24,15,150,402,380,362,415,583,606,549,551,577,538,470,621,540,401,373,314,194,0
희망대로,2023,4,21,시외버스터미널 > 한전사거리,152,101,93,76,53,125,250,275,332,419,541,574,585,601,618,680,595,593,601,527,425,387,226,0
희망대로,2023,4,21,한전사거리 > 시외버스터미널,128,91,75,49,36,63,165,238,330,438,615,643,648,641,688,743,705,813,648,524,466,421,281,0
희망대로,2023,4,22,대잠사거리 > 한전사거리,73,26,2,24,60,464,1556,1464,1650,1139,1081,1074,1058,1044,1026,1024,1040,1269,1131,680,536,434,311,0
희망대로,2023,4,22,한전사거리 > 대잠사거리,52,23,13,20,36,89,335,721,881,851,860,984,895,977,1012,1155,1114,1539,1479,813,405,357,255,0
희망대로,2023,4,22,섬안사거리 > 한전사거리,45,23,9,16,31,72,322,664,765,731,722,888,819,911,915,1052,1005,1388,1335,649,323,265,210,0
희망대로,2023,4,22,한전사거리 > 섬안사거리,47,15,3,25,68,497,1906,1658,1404,1057,892,849,959,1043,880,821,785,904,848,457,351,379,242,0
희망대로,2023,4,22,시외버스터미널 > 한전사거리,39,12,0,2,63,195,945,970,796,804,779,791,847,899,819,734,743,706,729,548,463,415,328,0
희망대로,2023,4,22,한전사거리 > 시외버스터미널,113,59,35,32,46,172,710,687,1205,981,939,1005,890,935,975,1063,1092,1224,1042,688,571,450,333,0
희망대로,2023,4,23,대잠사거리 > 한전사거리,97,60,53,37,92,561,1590,1404,1556,1127,997,1015,991,1052,1019,1021,1017,1277,1160,597,436,312,235,0
희망대로,2023,4,23,한전사거리 > 대잠사거리,103,87,55,40,72,149,423,790,885,860,810,965,905,989,954,1057,1248,1638,1442,744,386,194,126,0
희망대로,2023,4,23,섬안사거리 > 한전사거리,73,64,32,34,55,115,398,754,716,643,681,838,886,911,856,928,1131,1393,1309,641,342,90,50,0
희망대로,2023,4,23,한전사거리 > 섬안사거리,83,61,43,50,91,596,1998,1627,1323,1017,801,765,784,912,871,802,776,906,882,458,320,257,180,0
희망대로,2023,4,23,시외버스터미널 > 한전사거리,152,107,81,61,94,287,1077,1028,811,793,725,768,747,802,781,769,765,763,683,490,276,276,188,0
희망대로,2023,4,23,한전사거리 > 시외버스터미널,128,98,63,44,83,233,728,707,1160,903,876,964,911,945,981,978,1064,1188,1015,582,493,343,263,0
희망대로,2023,4,24,대잠사거리 > 한전사거리,64,60,46,47,77,573,1512,1348,1535,1222,918,960,989,950,1014,1050,1024,1199,1290,679,564,505,299,0
희망대로,2023,4,24,한전사거리 > 대잠사거리,59,57,57,53,61,139,399,780,837,862,779,943,919,944,915,984,1149,1474,1357,817,447,372,269,0
희망대로,2023,4,24,섬안사거리 > 한전사거리,58,42,44,40,52,122,355,747,698,704,689,811,823,910,790,871,1045,1279,1268,734,337,295,191,0
희망대로,2023,4,24,한전사거리 > 섬안사거리,55,57,37,50,83,611,1897,1605,1327,1054,803,757,888,873,853,841,801,890,893,475,396,377,252,0
희망대로,2023,4,24,시외버스터미널 > 한전사거리,36,105,65,68,58,256,1032,1010,812,783,712,714,754,739,700,703,773,718,683,517,491,449,342,0
희망대로,2023,4,24,한전사거리 > 시외버스터미널,101,91,59,54,69,216,692,692,1169,1025,767,844,792,923,933,933,1059,1169,1148,724,578,534,340,0
희망대로,2023,4,25,대잠사거리 > 한전사거리,106,82,62,62,90,639,1509,1422,1643,1163,1001,977,983,1020,1008,975,1060,1217,1298,725,598,442,340,0
희망대로,2023,4,25,한전사거리 > 대잠사거리,97,66,66,42,59,142,367,636,772,789,757,986,920,975,927,1048,1142,1489,1417,831,426,442,277,0
희망대로,2023,4,25,섬안사거리 > 한전사거리,70,44,57,37,46,124,322,558,589,622,666,910,858,885,832,933,1021,1279,1328,735,315,365,200,0
희망대로,2023,4,25,한전사거리 > 섬안사거리,93,57,52,55,88,646,1906,1615,1376,976,771,717,794,879,862,794,792,889,935,513,417,352,296,0
희망대로,2023,4,25,시외버스터미널 > 한전사거리,143,114,92,77,76,253,1031,1002,834,767,665,710,735,811,735,730,754,713,673,518,505,458,371,0
희망대로,2023,4,25,한전사거리 > 시외버스터미널,144,114,85,63,72,249,696,666,1205,952,915,949,886,966,890,970,1045,1133,1141,689,606,469,383,0
희망대로,2023,4,26,대잠사거리 > 한전사거리,114,104,66,54,93,500,1286,1286,1529,1104,1056,1079,972,1011,1082,1125,1143,1293,1281,753,600,495,352,0
희망대로,2023,4,26,한전사거리 > 대잠사거리,118,81,63,50,72,157,442,764,875,836,895,1007,962,953,971,1064,1306,1507,1121,734,406,355,280,0
희망대로,2023,4,26,섬안사거리 > 한전사거리,90,49,55,37,52,123,394,708,726,701,756,894,867,817,848,1015,1176,1338,1131,638,301,282,197,0
희망대로,2023,4,26,한전사거리 > 섬안사거리,87,70,56,43,88,535,1746,1440,1314,1002,820,847,846,965,888,941,881,901,893,560,435,364,296,0
희망대로,2023,4,26,시외버스터미널 > 한전사거리,146,107,82,61,86,295,1033,966,815,791,759,781,843,913,750,782,807,701,650,595,531,487,394,0
희망대로,2023,4,26,한전사거리 > 시외버스터미널,166,131,88,71,84,229,562,674,1139,977,908,940,890,931,1000,1109,1135,1252,1196,773,613,540,412,0
희망대로,2023,4,27,대잠사거리 > 한전사거리,107,85,61,53,78,321,785,801,860,1078,1130,1206,1234,1115,980,924,856,1047,926,646,562,472,344,0
희망대로,2023,4,27,한전사거리 > 대잠사거리,118,91,77,58,71,188,373,290,444,712,821,999,1037,913,917,945,972,1023,887,740,398,339,260,0
희망대로,2023,4,27,섬안사거리 > 한전사거리,91,59,49,36,50,152,273,170,246,478,644,783,875,809,808,802,803,901,771,637,309,292,190,0
희망대로,2023,4,27,한전사거리 > 섬안사거리,96,74,54,47,66,377,1043,790,712,826,833,877,894,829,785,690,688,820,717,432,409,349,258,0
희망대로,2023,4,27,시외버스터미널 > 한전사거리,169,166,118,97,93,234,726,596,590,670,719,749,786,712,712,684,715,717,690,531,476,442,325,0
희망대로,2023,4,27,한전사거리 > 시외버스터미널,192,152,125,85,91,162,381,446,691,884,1017,1009,1095,974,911,918,914,998,914,730,618,507,393,0
