road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
포스코대로,2023,4,4,형산오거리 > 포항운하관,0,0,1,0,1,3,27,27,24,13,12,11,10,8,10,11,10,12,9,3,11,1,3,2
포스코대로,2023,4,4,남구청 > 형산오거리,14,8,5,9,16,28,127,149,296,243,252,319,308,310,290,289,372,437,378,185,130,144,63,44
포스코대로,2023,4,4,형산오거리 > 남구청,6,8,5,11,16,34,137,219,288,280,256,315,232,296,299,284,463,545,460,215,123,103,62,48
포스코대로,2023,4,4,KT포항지사 > 형산오거리,7,5,3,3,8,80,236,200,158,162,150,149,161,145,141,65,122,170,117,42,30,37,30,15
포스코대로,2023,4,4,형산오거리 > KT포항지사,66,60,39,29,46,100,268,555,706,609,535,600,460,580,711,721,946,1268,1204,779,393,327,260,158
포스코대로,2023,4,4,형산오거리 > 포스코1문,18,18,16,16,40,179,688,672,490,322,332,322,362,378,324,268,314,371,320,105,92,103,82,37
포스코대로,2023,4,4,등외과사거리 > 오거리,0,0,1,0,1,4,27,28,31,17,13,14,12,11,11,18,13,13,12,3,13,2,4,2
포스코대로,2023,4,4,오거리 > 등외과사거리,67,46,40,46,55,122,267,329,594,502,556,635,605,639,604,585,857,992,913,454,317,337,193,170
포스코대로,2023,4,4,여성병원 > 5호광장,146,128,79,71,140,491,1357,1379,1922,1392,1236,1118,1125,1259,1265,1182,1229,1340,1245,740,591,575,469,295
포스코대로,2023,4,4,5호광장 > 여성병원,79,79,61,42,49,149,596,864,1142,990,1040,969,958,970,1127,1039,1341,1692,1507,977,657,476,387,245
포스코대로,2023,4,4,시외버스터미널방면 > 5호광장,113,129,88,79,58,107,261,369,683,471,525,501,511,549,586,635,662,751,735,408,398,316,263,181
포스코대로,2023,4,4,5호광장 > 시외버스터미널방면,96,89,54,49,83,82,274,349,640,443,547,509,481,545,554,568,578,686,677,358,328,283,222,157
포스코대로,2023,4,4,방장산터널 > 이동농협사거리,94,60,42,33,63,144,422,877,1345,941,892,871,855,893,998,966,1131,1209,1236,739,533,456,373,193
포스코대로,2023,4,4,이동농협사거리 > 방장산터널,74,81,35,24,54,88,261,456,948,637,610,661,598,613,669,675,732,805,810,458,382,399,292,204
포스코대로,2023,4,4,제철고 > 이동사거리,59,50,21,11,49,215,544,695,935,640,605,657,567,507,605,726,795,851,783,523,403,416,263,202
포스코대로,2023,4,4,이동사거리 > 제철고,19,15,2,12,15,38,64,186,210,152,128,142,176,150,164,167,215,289,320,277,185,152,110,52
포스코대로,2023,4,4,S병원 > 이동사거리,77,40,34,28,41,175,569,723,1260,876,763,829,757,774,750,804,882,906,848,598,457,431,275,157
포스코대로,2023,4,4,이동사거리 > S병원,76,47,31,16,70,177,425,744,1067,882,890,937,903,899,925,957,1111,1364,1322,733,610,566,410,224
포스코대로,2023,4,4,중앙하이츠 > 이동사거리,85,59,25,27,56,148,372,720,963,825,787,874,875,847,850,908,1061,1376,1429,921,726,590,426,217
포스코대로,2023,4,4,이동사거리 > 중앙하이츠,91,48,33,34,45,317,962,1097,1544,1026,928,916,893,868,892,986,1036,1042,1016,677,586,536,355,213
포스코대로,2023,4,5,포스코본사 > 현대제철,267,203,150,130,178,391,1037,1543,1932,1545,1446,1652,1477,1669,1823,2143,2506,2158,2471,1591,1044,826,732,496
포스코대로,2023,4,5,현대제철 > 포스코본사,278,169,146,126,237,828,2239,2266,1853,1548,1486,1401,1182,1214,1209,1179,1408,1785,1661,1103,919,859,674,452
포스코대로,2023,4,5,포항운하관 > 형산오거리,44,33,27,26,51,281,1151,623,576,529,467,582,654,694,573,498,488,450,647,205,191,196,152,123
포스코대로,2023,4,5,형산오거리 > 포항운하관,0,0,0,0,2,4,30,20,24,16,12,14,6,9,4,3,5,9,12,7,11,3,1,0
포스코대로,2023,4,5,남구청 > 형산오거리,17,13,6,5,24,37,126,158,254,216,249,251,234,252,257,267,305,365,379,224,143,129,86,55
포스코대로,2023,4,5,형산오거리 > 남구청,16,15,11,9,16,40,137,176,279,292,209,270,181,179,209,238,398,415,456,215,120,118,72,39
포스코대로,2023,4,5,KT포항지사 > 형산오거리,16,3,4,3,4,62,235,150,133,158,178,148,146,111,94,50,61,47,75,45,31,36,43,18
포스코대로,2023,4,5,형산오거리 > KT포항지사,81,71,32,40,50,116,273,572,710,580,528,573,465,549,631,714,832,982,1043,648,380,334,289,198
포스코대로,2023,4,5,형산오거리 > 포스코1문,11,2,4,2,6,63,264,164,134,145,164,130,113,87,50,24,36,40,72,39,32,30,33,11
포스코대로,2023,4,5,등외과사거리 > 오거리,0,0,0,0,5,5,30,21,34,22,18,15,7,16,12,7,6,11,17,7,12,4,1,0
포스코대로,2023,4,5,오거리 > 등외과사거리,107,88,52,47,70,106,277,298,505,425,494,511,508,537,541,580,627,832,864,493,341,298,254,188
포스코대로,2023,4,5,여성병원 > 5호광장,214,120,75,66,164,484,1330,1337,1849,1302,1282,1222,1141,1205,1305,1172,1304,1358,1320,867,730,584,519,331
포스코대로,2023,4,5,5호광장 > 여성병원,146,105,66,61,66,184,599,876,1090,953,897,919,869,830,960,1041,1313,1341,1455,844,582,490,466,262
포스코대로,2023,4,5,시외버스터미널방면 > 5호광장,175,142,112,80,81,102,238,352,631,512,545,646,625,605,676,730,759,789,824,460,367,361,298,243
포스코대로,2023,4,5,5호광장 > 시외버스터미널방면,121,84,65,52,92,92,258,316,581,464,502,616,563,617,623,631,685,764,799,467,372,319,255,195
포스코대로,2023,4,5,방장산터널 > 이동농협사거리,141,91,47,48,69,156,448,880,1319,967,934,918,952,951,920,998,1119,1090,1257,772,570,462,394,247
포스코대로,2023,4,5,이동농협사거리 > 방장산터널,113,81,44,21,72,107,268,429,919,646,605,640,612,626,691,747,795,780,807,527,470,438,332,217
포스코대로,2023,4,5,제철고 > 이동사거리,100,57,13,17,77,192,583,584,924,649,551,631,600,578,664,713,741,602,733,545,436,410,254,199
포스코대로,2023,4,5,이동사거리 > 제철고,25,15,7,5,15,39,59,185,195,146,134,160,146,115,122,124,200,274,344,261,178,140,117,65
포스코대로,2023,4,5,S병원 > 이동사거리,78,53,23,37,46,180,540,757,1218,904,824,783,770,797,848,856,920,892,890,689,583,487,347,213
포스코대로,2023,4,5,이동사거리 > S병원,117,57,35,31,89,161,441,772,1053,921,973,886,904,846,863,1067,1057,1166,1375,851,611,618,413,282
포스코대로,2023,4,5,중앙하이츠 > 이동사거리,104,59,37,22,73,135,362,741,978,869,842,802,808,777,777,900,998,1264,1496,1039,744,632,463,266
포스코대로,2023,4,5,이동사거리 > 중앙하이츠,127,63,34,43,64,293,961,1064,1527,1041,915,867,893,893,926,970,1017,1036,1047,780,653,590,449,284
포스코대로,2023,4,6,포스코본사 > 현대제철,298,252,216,167,190,407,953,1309,1266,1426,1469,1623,1808,1910,1940,2322,2293,2200,1928,1493,1081,799,636,0
포스코대로,2023,4,6,현대제철 > 포스코본사,317,249,183,170,244,662,1425,1459,1314,1421,1448,1347,1519,1782,1703,1577,1543,1552,1272,1018,878,730,565,0
포스코대로,2023,4,6,포항운하관 > 형산오거리,39,33,25,27,34,167,442,344,309,296,301,321,386,440,399,436,458,384,338,148,144,126,106,0
포스코대로,2023,4,6,형산오거리 > 포항운하관,0,0,1,0,1,4,17,10,20,10,6,10,10,8,9,9,9,13,9,6,10,3,5,0
포스코대로,2023,4,6,남구청 > 형산오거리,20,18,13,15,23,25,96,116,152,175,221,248,291,253,269,338,296,311,251,173,152,119,80,0
포스코대로,2023,4,6,형산오거리 > 남구청,26,21,22,9,16,74,268,318,303,328,298,282,410,446,442,554,478,490,419,208,127,88,76,0
포스코대로,2023,4,6,KT포항지사 > 형산오거리,16,7,11,2,10,47,187,148,161,157,154,164,172,152,166,137,100,108,66,45,33,29,32,0
포스코대로,2023,4,6,형산오거리 > KT포항지사,104,88,67,54,47,123,288,519,419,540,488,527,549,558,654,822,833,749,686,608,347,290,231,0
포스코대로,2023,4,6,형산오거리 > 포스코1문,32,24,12,14,22,81,322,248,234,229,222,241,268,264,274,256,234,233,178,94,73,89,70,0
포스코대로,2023,4,6,등외과사거리 > 오거리,0,0,1,0,1,6,20,15,23,12,7,10,11,10,13,12,10,15,15,6,13,3,5,0
포스코대로,2023,4,6,오거리 > 등외과사거리,122,105,94,61,81,116,266,324,384,415,483,599,632,637,637,798,675,745,583,407,340,258,197,0
