date,time,road,speed
7,1,3500007700-3500081900,51
7,2,3500007700-3500081900,51
7,3,3500007700-3500081900,53
7,4,3500007700-3500081900,52
7,5,3500007700-3500081900,50
7,6,3500007700-3500081900,49
7,7,3500007700-3500081900,45
7,8,3500007700-3500081900,41
7,9,3500007700-3500081900,39
7,10,3500007700-3500081900,38
7,11,3500007700-3500081900,38
7,12,3500007700-3500081900,37
7,13,3500007700-3500081900,37
7,14,3500007700-3500081900,0
7,15,3500007700-3500081900,38
7,16,3500007700-3500081900,38
7,17,3500007700-3500081900,37
7,18,3500007700-3500081900,37
7,19,3500007700-3500081900,38
7,20,3500007700-3500081900,40
7,21,3500007700-3500081900,41
7,22,3500007700-3500081900,41
7,23,3500007700-3500081900,45
8,0,3500007700-3500056400,44
8,1,3500007700-3500056400,43
8,2,3500007700-3500056400,44
8,3,3500007700-3500056400,48
8,4,3500007700-3500056400,49
8,5,3500007700-3500056400,45
8,6,3500007700-3500056400,37
8,7,3500007700-3500056400,26
8,8,3500007700-3500056400,33
8,9,3500007700-3500056400,37
8,10,3500007700-3500056400,35
8,11,3500007700-3500056400,34
8,12,3500007700-3500056400,32
8,13,3500007700-3500056400,37
8,14,3500007700-3500056400,0
8,15,3500007700-3500056400,37
8,16,3500007700-3500056400,37
8,17,3500007700-3500056400,32
8,18,3500007700-3500056400,30
8,19,3500007700-3500056400,38
8,20,3500007700-3500056400,41
8,21,3500007700-3500056400,39
8,22,3500007700-3500056400,36
8,23,3500007700-3500056400,39
8,0,3500007700-3500081900,44
8,1,3500007700-3500081900,43
8,2,3500007700-3500081900,44
8,3,3500007700-3500081900,48
8,4,3500007700-3500081900,49
8,5,3500007700-3500081900,45
8,6,3500007700-3500081900,37
8,7,3500007700-3500081900,26
8,8,3500007700-3500081900,33
8,9,3500007700-3500081900,37
8,10,3500007700-3500081900,35
8,11,3500007700-3500081900,34
8,12,3500007700-3500081900,32
8,13,3500007700-3500081900,37
8,14,3500007700-3500081900,0
8,15,3500007700-3500081900,37
8,16,3500007700-3500081900,37
8,17,3500007700-3500081900,32
8,18,3500007700-3500081900,30
8,19,3500007700-3500081900,38
8,20,3500007700-3500081900,41
8,21,3500007700-3500081900,39
8,22,3500007700-3500081900,36
8,23,3500007700-3500081900,39
9,0,3500007700-3500056400,42
9,1,3500007700-3500056400,43
9,2,3500007700-3500056400,42
9,3,3500007700-3500056400,45
9,4,3500007700-3500056400,45
9,5,3500007700-3500056400,45
9,6,3500007700-3500056400,41
9,7,3500007700-3500056400,26
9,8,3500007700-3500056400,31
9,9,3500007700-3500056400,35
9,10,3500007700-3500056400,36
9,11,3500007700-3500056400,36
9,12,3500007700-3500056400,37
9,13,3500007700-3500056400,36
9,14,3500007700-3500056400,0
9,15,3500007700-3500056400,36
9,16,3500007700-3500056400,35
9,17,3500007700-3500056400,34
9,18,3500007700-3500056400,33
9,19,3500007700-3500056400,36
9,20,3500007700-3500056400,38
9,21,3500007700-3500056400,44
9,22,3500007700-3500056400,46
9,23,3500007700-3500056400,47
9,0,3500007700-3500081900,42
9,1,3500007700-3500081900,43
9,2,3500007700-3500081900,42
9,3,3500007700-3500081900,45
9,4,3500007700-3500081900,45
9,5,3500007700-3500081900,45
9,6,3500007700-3500081900,41
9,7,3500007700-3500081900,26
9,8,3500007700-3500081900,31
9,9,3500007700-3500081900,35
9,10,3500007700-3500081900,36
9,11,3500007700-3500081900,36
9,12,3500007700-3500081900,37
9,13,3500007700-3500081900,36
9,14,3500007700-3500081900,0
9,15,3500007700-3500081900,36
9,16,3500007700-3500081900,35
9,17,3500007700-3500081900,34
9,18,3500007700-3500081900,33
9,19,3500007700-3500081900,36
9,20,3500007700-3500081900,38
9,21,3500007700-3500081900,44
9,22,3500007700-3500081900,46
9,23,3500007700-3500081900,47
10,0,3500007700-3500056400,44
10,1,3500007700-3500056400,46
10,2,3500007700-3500056400,47
10,3,3500007700-3500056400,44
10,4,3500007700-3500056400,44
10,5,3500007700-3500056400,44
